"id_cp_interaction","interacting_pair","partner_a","partner_b","gene_a","gene_b","secreted","receptor_a","receptor_b","annotation_strategy","is_integrin","rank","cell1:cell2","pvalue","avgExpr","cell1","cell2"
"CPI-SS0FEEB187C","PDGFB_PDGFRA","simple:P01127","simple:P16234","ENSG00000100311","ENSG00000134853","True","False","True","curated","False",0.021,"Dendritic Cells|Myofibroblast",0,0.475,"Dendritic Cells","Myofibroblast"
"CPI-SC033E22B14","PDGFB_PDGFR complex","simple:P01127","complex:PDGFR complex","ENSG00000100311","","True","False","True","curated","False",0.021,"Dendritic Cells|Fibroblast",0,0.461,"Dendritic Cells","Fibroblast"
"CPI-SS0FEEB187C","PDGFB_PDGFRA","simple:P01127","simple:P16234","ENSG00000100311","ENSG00000134853","True","False","True","curated","False",0.021,"Dendritic Cells|Fibroblast",0,0.461,"Dendritic Cells","Fibroblast"
"CPI-SS0D22A09AD","PGF_NRP2","simple:P49763","simple:O60462","ENSG00000119630","ENSG00000118257","True","False","True","curated","False",0.021,"Pericytes|Fibroblast",0,0.289,"Pericytes","Fibroblast"
"CPI-SS0D22A09AD","PGF_NRP2","simple:P49763","simple:O60462","ENSG00000119630","ENSG00000118257","True","False","True","curated","False",0.021,"Pericytes|Myofibroblast",0,0.277,"Pericytes","Myofibroblast"
"CPI-CS0D35E69F6","BMP7_ACR2A_BMR1A","simple:P18075","complex:BMR1A_ACR2A","ENSG00000101144","","True","False","True","curated","False",0.021,"Podocytes|Myofibroblast",0,0.234,"Podocytes","Myofibroblast"
"CPI-SS004C23DCE","EREG_EGFR","simple:O14944","simple:P00533","ENSG00000124882","ENSG00000146648","True","False","True","curated","False",0.021,"Dendritic Cells|Myofibroblast",0,0.217,"Dendritic Cells","Myofibroblast"
"CPI-SS004C23DCE","EREG_EGFR","simple:O14944","simple:P00533","ENSG00000124882","ENSG00000146648","True","False","True","curated","False",0.021,"Dendritic Cells|Fibroblast",0,0.212,"Dendritic Cells","Fibroblast"
"CPI-SS0D3C90DDA","WISP3_SORL1","simple:O95389","simple:Q92673","ENSG00000112761","ENSG00000137642","True","False","True","InnateDB-All","False",0.021,"Podocytes|Fibroblast",0,0.141,"Podocytes","Fibroblast"
"CPI-CS0D35E69F6","BMP7_ACR2A_BMR1A","simple:P18075","complex:BMR1A_ACR2A","ENSG00000101144","","True","False","True","curated","False",0.021,"Fibroblast|Myofibroblast",0,0.135,"Fibroblast","Myofibroblast"
"CPI-CS0D35E69F6","BMP7_ACR2A_BMR1A","simple:P18075","complex:BMR1A_ACR2A","ENSG00000101144","","True","False","True","curated","False",0.021,"Injured Tubule|Myofibroblast",0,0.131,"Injured Tubule","Myofibroblast"
"CPI-SS0D3C90DDA","WISP3_SORL1","simple:O95389","simple:Q92673","ENSG00000112761","ENSG00000137642","True","False","True","InnateDB-All","False",0.021,"Podocytes|Myofibroblast",0,0.13,"Podocytes","Myofibroblast"
"CPI-CS0D35E69F6","BMP7_ACR2A_BMR1A","simple:P18075","complex:BMR1A_ACR2A","ENSG00000101144","","True","False","True","curated","False",0.021,"Myofibroblast|Myofibroblast",0,0.119,"Myofibroblast","Myofibroblast"
"CPI-CS0D35E69F6","BMP7_ACR2A_BMR1A","simple:P18075","complex:BMR1A_ACR2A","ENSG00000101144","","True","False","True","curated","False",0.021,"Dendritic Cells|Myofibroblast",0,0.117,"Dendritic Cells","Myofibroblast"
"CPI-SS0C4D54E39","JAG2_NOTCH3","simple:Q9Y219","simple:Q9UM47","ENSG00000184916","ENSG00000074181","False","False","True","curated","False",0.024,"Arterioral Endothelium|Pericytes",0,0.725,"Arterioral Endothelium","Pericytes"
"CPI-SS0DEDA3567","TNFSF10_RIPK1","simple:P50591","simple:Q13546","ENSG00000121858","ENSG00000137275","True","False","True","InnateDB-All","False",0.024,"Injured Tubule|Myofibroblast",0,0.716,"Injured Tubule","Myofibroblast"
"CPI-SS0C4D54E39","JAG2_NOTCH3","simple:Q9Y219","simple:Q9UM47","ENSG00000184916","ENSG00000074181","False","False","True","curated","False",0.024,"Arterioral Endothelium|Myofibroblast",0,0.402,"Arterioral Endothelium","Myofibroblast"
"CPI-SS0B70EB09E","PDGFA_PDGFRA","simple:P04085","simple:P16234","ENSG00000197461","ENSG00000134853","True","False","True","curated","False",0.026,"Podocytes|Myofibroblast",0,0.609,"Podocytes","Myofibroblast"
"CPI-SS0B70EB09E","PDGFA_PDGFRA","simple:P04085","simple:P16234","ENSG00000197461","ENSG00000134853","True","False","True","curated","False",0.026,"Podocytes|Fibroblast",0,0.595,"Podocytes","Fibroblast"
"CPI-SS0B70EB09E","PDGFA_PDGFRA","simple:P04085","simple:P16234","ENSG00000197461","ENSG00000134853","True","False","True","curated","False",0.026,"Injured Tubule|Myofibroblast",0,0.544,"Injured Tubule","Myofibroblast"
"CPI-SS0B70EB09E","PDGFA_PDGFRA","simple:P04085","simple:P16234","ENSG00000197461","ENSG00000134853","True","False","True","curated","False",0.026,"Pericytes|Myofibroblast",0,0.541,"Pericytes","Myofibroblast"
"CPI-SS0B70EB09E","PDGFA_PDGFRA","simple:P04085","simple:P16234","ENSG00000197461","ENSG00000134853","True","False","True","curated","False",0.026,"Injured Tubule|Fibroblast",0,0.53,"Injured Tubule","Fibroblast"
"CPI-SS0B70EB09E","PDGFA_PDGFRA","simple:P04085","simple:P16234","ENSG00000197461","ENSG00000134853","True","False","True","curated","False",0.026,"Pericytes|Fibroblast",0,0.527,"Pericytes","Fibroblast"
"CPI-SS0B70EB09E","PDGFA_PDGFRA","simple:P04085","simple:P16234","ENSG00000197461","ENSG00000134853","True","False","True","curated","False",0.026,"Myofibroblast|Myofibroblast",0,0.479,"Myofibroblast","Myofibroblast"
