Gene	Cell_Type	Cell_Type2	Source
SORBS2	Endothelial Cells - glomerular capillaries	Endothelial	Lake2019
MBNL1	Endothelial Cells - glomerular capillaries	Endothelial	Lake2019
HIPK2	Endothelial Cells - glomerular capillaries	Endothelial	Lake2019
SASH1	Endothelial Cells - glomerular capillaries	Endothelial	Lake2019
HIBCH	Endothelial Cells - glomerular capillaries	Endothelial	Lake2019
DNASE1L3	Endothelial Cells - AVR	Endothelial	Lake2019
GPM6A	Endothelial Cells - AVR	Endothelial	Lake2019
ADGRL4	Endothelial Cells - AVR	Endothelial	Lake2019
EGFL7	Endothelial Cells - AVR	Endothelial	Lake2019
PECAM1	Endothelial Cells - AVR	Endothelial	Lake2019
SDPR	Endothelial Cells - AVR	Endothelial	Lake2019
CEACAM1	Endothelial Cells - AVR	Endothelial	Lake2019
TLL1	Endothelial Cells - AVR	Endothelial	Lake2019
ENG	Endothelial Cells - AVR	Endothelial	Lake2019
LDB2	Endothelial Cells - AVR	Endothelial	Lake2019
PLAT	Endothelial Cells - AVR	Endothelial	Lake2019
HLA-DRB1	Endothelial Cells - AVR	Endothelial	Lake2019
IGFBP5	Endothelial Cells - AVR	Endothelial	Lake2019
FN1	Endothelial Cells - AVR	Endothelial	Lake2019
HLA-DRA	Endothelial Cells - AVR	Endothelial	Lake2019
MEIS2	Endothelial Cells - AVR	Endothelial	Lake2019
SH3BP5	Endothelial Cells - AVR	Endothelial	Lake2019
EMCN	Endothelial Cells - AVR	Endothelial	Lake2019
FLT1	Endothelial Cells - AVR	Endothelial	Lake2019
CD74	Endothelial Cells - AVR	Endothelial	Lake2019
ZNF385D	Endothelial Cells - AVR	Endothelial	Lake2019
B2M	Endothelial Cells - AVR	Endothelial	Lake2019
ZEB1	Endothelial Cells - AVR	Endothelial	Lake2019
HLA-B	Endothelial Cells - AVR	Endothelial	Lake2019
PTPRB	Endothelial Cells - AVR	Endothelial	Lake2019
CD59	Endothelial Cells - AVR	Endothelial	Lake2019
HLA-E	Endothelial Cells - AVR	Endothelial	Lake2019
RBMS3	Endothelial Cells - AVR	Endothelial	Lake2019
ST6GALNAC3	Endothelial Cells - AVR	Endothelial	Lake2019
TCF4	Endothelial Cells - AVR	Endothelial	Lake2019
IFITM3	Endothelial Cells - AVR	Endothelial	Lake2019
VIM	Endothelial Cells - AVR	Endothelial	Lake2019
EPAS1	Endothelial Cells - AVR	Endothelial	Lake2019
FBXL7	Endothelial Cells - AVR	Endothelial	Lake2019
DOCK4	Endothelial Cells - AVR	Endothelial	Lake2019
TMSB10	Endothelial Cells - AVR	Endothelial	Lake2019
TGM2	Endothelial Cells - AVR	Endothelial	Lake2019
TGFBR2	Endothelial Cells - AVR	Endothelial	Lake2019
KALRN	Endothelial Cells - AVR	Endothelial	Lake2019
MIR99AHG	Endothelial Cells - AVR	Endothelial	Lake2019
PTPRM	Endothelial Cells - AVR	Endothelial	Lake2019
CD9	Endothelial Cells - AVR	Endothelial	Lake2019
ASAP1	Endothelial Cells - AVR	Endothelial	Lake2019
APP	Endothelial Cells - AVR	Endothelial	Lake2019
ARHGAP26	Endothelial Cells - AVR	Endothelial	Lake2019
MYL12A	Endothelial Cells - AVR	Endothelial	Lake2019
ADGRF5	Endothelial Cells - AVR	Endothelial	Lake2019
MT2A	Endothelial Cells - AVR	Endothelial	Lake2019
RPLP0	Endothelial Cells - AVR	Endothelial	Lake2019
ID1	Endothelial Cells - AVR	Endothelial	Lake2019
FTL	Endothelial Cells - AVR	Endothelial	Lake2019
IGFBP7	Endothelial Cells - AVR	Endothelial	Lake2019
DDX5	Endothelial Cells - AVR	Endothelial	Lake2019
RPL13	Endothelial Cells - AVR	Endothelial	Lake2019
UTRN	Endothelial Cells - AVR	Endothelial	Lake2019
PLPP3	Endothelial Cells - AVR	Endothelial	Lake2019
RPS2	Endothelial Cells - AVR	Endothelial	Lake2019
RPS6	Endothelial Cells - AVR	Endothelial	Lake2019
PBX1	Endothelial Cells - AVR	Endothelial	Lake2019
TMSB4X	Endothelial Cells - AVR	Endothelial	Lake2019
HSP90B1	Endothelial Cells - AVR	Endothelial	Lake2019
TFPI	Endothelial Cells - AVR	Endothelial	Lake2019
IL6ST	Endothelial Cells - AVR	Endothelial	Lake2019
GAPDH	Endothelial Cells - AVR	Endothelial	Lake2019
CNN3	Endothelial Cells - AVR	Endothelial	Lake2019
NAMPT	Endothelial Cells - AVR	Endothelial	Lake2019
RPL19	Endothelial Cells - AVR	Endothelial	Lake2019
MYL12B	Endothelial Cells - AVR	Endothelial	Lake2019
MYL6	Endothelial Cells - AVR	Endothelial	Lake2019
TIMP3	Endothelial Cells - AVR	Endothelial	Lake2019
EIF1	Endothelial Cells - AVR	Endothelial	Lake2019
RPLP1	Endothelial Cells - AVR	Endothelial	Lake2019
RASAL2	Endothelial Cells - AVR	Endothelial	Lake2019
RHOA	Endothelial Cells - AVR	Endothelial	Lake2019
RPL3	Endothelial Cells - AVR	Endothelial	Lake2019
EEF1A1	Endothelial Cells - AVR	Endothelial	Lake2019
PTMA	Endothelial Cells - AVR	Endothelial	Lake2019
C8orf4	Endothelial Cells - AVR	Endothelial	Lake2019
ADAMTS9	Endothelial Cells - AVR	Endothelial	Lake2019
QKI	Endothelial Cells - AVR	Endothelial	Lake2019
ACTG1	Endothelial Cells - AVR	Endothelial	Lake2019
PSMA7	Endothelial Cells - AVR	Endothelial	Lake2019
TPT1	Endothelial Cells - AVR	Endothelial	Lake2019
NPM1	Endothelial Cells - AVR	Endothelial	Lake2019
RPLP2	Endothelial Cells - AVR	Endothelial	Lake2019
HNRNPA2B1	Endothelial Cells - AVR	Endothelial	Lake2019
RPS16	Endothelial Cells - AVR	Endothelial	Lake2019
RPL10	Endothelial Cells - AVR	Endothelial	Lake2019
RPL4	Endothelial Cells - AVR	Endothelial	Lake2019
PTTG1IP	Endothelial Cells - AVR	Endothelial	Lake2019
RPS8	Endothelial Cells - AVR	Endothelial	Lake2019
H3F3B	Endothelial Cells - AVR	Endothelial	Lake2019
RPS27A	Endothelial Cells - AVR	Endothelial	Lake2019
PABPC1	Endothelial Cells - AVR	Endothelial	Lake2019
RPS12	Endothelial Cells - AVR	Endothelial	Lake2019
FTH1	Endothelial Cells - AVR	Endothelial	Lake2019
RPL13A	Endothelial Cells - AVR	Endothelial	Lake2019
JAK1	Endothelial Cells - AVR	Endothelial	Lake2019
RPL18	Endothelial Cells - AVR	Endothelial	Lake2019
PRDX1	Endothelial Cells - AVR	Endothelial	Lake2019
PPFIBP1	Endothelial Cells - AVR	Endothelial	Lake2019
RPL5	Endothelial Cells - AVR	Endothelial	Lake2019
TXNIP	Endothelial Cells - AVR	Endothelial	Lake2019
YWHAB	Endothelial Cells - AVR	Endothelial	Lake2019
UBE2D3	Endothelial Cells - AVR	Endothelial	Lake2019
SPTBN1	Endothelial Cells - AVR	Endothelial	Lake2019
CD63	Endothelial Cells - AVR	Endothelial	Lake2019
AKT3	Endothelial Cells - AVR	Endothelial	Lake2019
TMTC2	Endothelial Cells - AVR	Endothelial	Lake2019
ARHGAP29	Endothelial Cells - AVR	Endothelial	Lake2019
RPS19	Endothelial Cells - AVR	Endothelial	Lake2019
RPL7	Endothelial Cells - AVR	Endothelial	Lake2019
RPS23	Endothelial Cells - AVR	Endothelial	Lake2019
RBMS1	Endothelial Cells - AVR	Endothelial	Lake2019
GNB2L1	Endothelial Cells - AVR	Endothelial	Lake2019
AHNAK	Endothelial Cells - AVR	Endothelial	Lake2019
NCL	Endothelial Cells - AVR	Endothelial	Lake2019
RPL8	Endothelial Cells - AVR	Endothelial	Lake2019
RPS14	Endothelial Cells - AVR	Endothelial	Lake2019
CANX	Endothelial Cells - AVR	Endothelial	Lake2019
HSP90AB1	Endothelial Cells - AVR	Endothelial	Lake2019
HNRNPDL	Endothelial Cells - AVR	Endothelial	Lake2019
XRCC5	Endothelial Cells - AVR	Endothelial	Lake2019
MEF2A	Endothelial Cells - AVR	Endothelial	Lake2019
SASH1	Endothelial Cells - AVR	Endothelial	Lake2019
RPL31	Endothelial Cells - AVR	Endothelial	Lake2019
PALMD	Endothelial Cells - AEA & DVR 	Endothelial	Lake2019
CD93	Endothelial Cells - AEA & DVR 	Endothelial	Lake2019
PECAM1	Endothelial Cells - AEA & DVR 	Endothelial	Lake2019
ADGRL4	Endothelial Cells - AEA & DVR 	Endothelial	Lake2019
CLDN5	Endothelial Cells - AEA & DVR 	Endothelial	Lake2019
ADAMTS6	Endothelial Cells - AEA & DVR 	Endothelial	Lake2019
TM4SF1	Endothelial Cells - AEA & DVR 	Endothelial	Lake2019
TIMP3	Endothelial Cells - AEA & DVR 	Endothelial	Lake2019
SRGN	Endothelial Cells - AEA & DVR 	Endothelial	Lake2019
VIM	Endothelial Cells - AEA & DVR 	Endothelial	Lake2019
A2M	Endothelial Cells - AEA & DVR 	Endothelial	Lake2019
PLPP1	Endothelial Cells - AEA & DVR 	Endothelial	Lake2019
C10orf10	Endothelial Cells - AEA & DVR 	Endothelial	Lake2019
SYN3	Endothelial Cells - AEA & DVR 	Endothelial	Lake2019
MEIS2	Endothelial Cells - AEA & DVR 	Endothelial	Lake2019
TMTC1	Endothelial Cells - AEA & DVR 	Endothelial	Lake2019
EGFL7	Endothelial Cells - AEA & DVR 	Endothelial	Lake2019
PTPRB	Endothelial Cells - AEA & DVR 	Endothelial	Lake2019
SOX5	Endothelial Cells - AEA & DVR 	Endothelial	Lake2019
ENPP2	Endothelial Cells - AEA & DVR 	Endothelial	Lake2019
TCF4	Endothelial Cells - AEA & DVR 	Endothelial	Lake2019
HLA-DRB1	Endothelial Cells - AEA & DVR 	Endothelial	Lake2019
PODXL	Endothelial Cells - AEA & DVR 	Endothelial	Lake2019
FLT1	Endothelial Cells - AEA & DVR 	Endothelial	Lake2019
EPAS1	Endothelial Cells - AEA & DVR 	Endothelial	Lake2019
LDB2	Endothelial Cells - AEA & DVR 	Endothelial	Lake2019
HLA-E	Endothelial Cells - AEA & DVR 	Endothelial	Lake2019
KCTD12	Endothelial Cells - AEA & DVR 	Endothelial	Lake2019
ELMO1	Endothelial Cells - AEA & DVR 	Endothelial	Lake2019
AQP1	Endothelial Cells - AEA & DVR 	Endothelial	Lake2019
ABI3BP	Endothelial Cells - AEA & DVR 	Endothelial	Lake2019
EMCN	Endothelial Cells - AEA & DVR 	Endothelial	Lake2019
ADGRF5	Endothelial Cells - AEA & DVR 	Endothelial	Lake2019
STOM	Endothelial Cells - AEA & DVR 	Endothelial	Lake2019
HLA-B	Endothelial Cells - AEA & DVR 	Endothelial	Lake2019
CD74	Endothelial Cells - AEA & DVR 	Endothelial	Lake2019
MEF2C	Endothelial Cells - AEA & DVR 	Endothelial	Lake2019
SPARC	Endothelial Cells - AEA & DVR 	Endothelial	Lake2019
RBMS3	Endothelial Cells - AEA & DVR 	Endothelial	Lake2019
EXOC6	Endothelial Cells - AEA & DVR 	Endothelial	Lake2019
EBF1	Endothelial Cells - AEA & DVR 	Endothelial	Lake2019
HLA-DRA	Endothelial Cells - AEA & DVR 	Endothelial	Lake2019
UTRN	Endothelial Cells - AEA & DVR 	Endothelial	Lake2019
B2M	Endothelial Cells - AEA & DVR 	Endothelial	Lake2019
IFITM3	Endothelial Cells - AEA & DVR 	Endothelial	Lake2019
PDE3A	Endothelial Cells - AEA & DVR 	Endothelial	Lake2019
CHRM3	Endothelial Cells - AEA & DVR 	Endothelial	Lake2019
ZEB1	Endothelial Cells - AEA & DVR 	Endothelial	Lake2019
ST6GALNAC3	Endothelial Cells - AEA & DVR 	Endothelial	Lake2019
DOCK9	Endothelial Cells - AEA & DVR 	Endothelial	Lake2019
CD59	Endothelial Cells - AEA & DVR 	Endothelial	Lake2019
TMSB10	Endothelial Cells - AEA & DVR 	Endothelial	Lake2019
ADAMTS9	Endothelial Cells - AEA & DVR 	Endothelial	Lake2019
TMSB4X	Endothelial Cells - AEA & DVR 	Endothelial	Lake2019
ARL15	Endothelial Cells - AEA & DVR 	Endothelial	Lake2019
MYH9	Endothelial Cells - AEA & DVR 	Endothelial	Lake2019
PLCB4	Endothelial Cells - AEA & DVR 	Endothelial	Lake2019
PTPRM	Endothelial Cells - AEA & DVR 	Endothelial	Lake2019
EMP1	Endothelial Cells - AEA & DVR 	Endothelial	Lake2019
IFITM2	Endothelial Cells - AEA & DVR 	Endothelial	Lake2019
FBXL7	Endothelial Cells - AEA & DVR 	Endothelial	Lake2019
SPTBN1	Endothelial Cells - AEA & DVR 	Endothelial	Lake2019
MTUS1	Endothelial Cells - AEA & DVR 	Endothelial	Lake2019
CRYBG3	Endothelial Cells - AEA & DVR 	Endothelial	Lake2019
DOCK4	Endothelial Cells - AEA & DVR 	Endothelial	Lake2019
PTMA	Endothelial Cells - AEA & DVR 	Endothelial	Lake2019
IL6ST	Endothelial Cells - AEA & DVR 	Endothelial	Lake2019
NFKBIA	Endothelial Cells - AEA & DVR 	Endothelial	Lake2019
ID1	Endothelial Cells - AEA & DVR 	Endothelial	Lake2019
FCHSD2	Endothelial Cells - AEA & DVR 	Endothelial	Lake2019
CALM1	Endothelial Cells - AEA & DVR 	Endothelial	Lake2019
CLIC4	Endothelial Cells - AEA & DVR 	Endothelial	Lake2019
SRP14	Endothelial Cells - AEA & DVR 	Endothelial	Lake2019
UACA	Endothelial Cells - AEA & DVR 	Endothelial	Lake2019
CALD1	Endothelial Cells - AEA & DVR 	Endothelial	Lake2019
PTTG1IP	Endothelial Cells - AEA & DVR 	Endothelial	Lake2019
TACC1	Endothelial Cells - AEA & DVR 	Endothelial	Lake2019
DST	Endothelial Cells - AEA & DVR 	Endothelial	Lake2019
ADAMTS1	Endothelial Cells - AEA & DVR 	Endothelial	Lake2019
MACF1	Endothelial Cells - AEA & DVR 	Endothelial	Lake2019
MYL12A	Endothelial Cells - AEA & DVR 	Endothelial	Lake2019
FTL	Endothelial Cells - AEA & DVR 	Endothelial	Lake2019
HSP90AA1	Endothelial Cells - AEA & DVR 	Endothelial	Lake2019
AHNAK	Endothelial Cells - AEA & DVR 	Endothelial	Lake2019
DNAJA1	Endothelial Cells - AEA & DVR 	Endothelial	Lake2019
DUSP1	Endothelial Cells - AEA & DVR 	Endothelial	Lake2019
ARHGAP26	Endothelial Cells - AEA & DVR 	Endothelial	Lake2019
EIF1	Endothelial Cells - AEA & DVR 	Endothelial	Lake2019
THSD7A	Endothelial Cells - AEA & DVR 	Endothelial	Lake2019
SP100	Endothelial Cells - AEA & DVR 	Endothelial	Lake2019
TTC28	Endothelial Cells - AEA & DVR 	Endothelial	Lake2019
RHOA	Endothelial Cells - AEA & DVR 	Endothelial	Lake2019
TPM3	Endothelial Cells - AEA & DVR 	Endothelial	Lake2019
ACTG1	Endothelial Cells - AEA & DVR 	Endothelial	Lake2019
HSP90B1	Endothelial Cells - AEA & DVR 	Endothelial	Lake2019
PIK3C2A	Endothelial Cells - AEA & DVR 	Endothelial	Lake2019
FOS	Endothelial Cells - AEA & DVR 	Endothelial	Lake2019
THSD4	Endothelial Cells - AEA & DVR 	Endothelial	Lake2019
RALGAPA2	Endothelial Cells - AEA & DVR 	Endothelial	Lake2019
HSP90AB1	Endothelial Cells - AEA & DVR 	Endothelial	Lake2019
MYL6	Endothelial Cells - AEA & DVR 	Endothelial	Lake2019
PLCB1	Endothelial Cells - AEA & DVR 	Endothelial	Lake2019
ARGLU1	Endothelial Cells - AEA & DVR 	Endothelial	Lake2019
MBNL1	Endothelial Cells - AEA & DVR 	Endothelial	Lake2019
RPS2	Endothelial Cells - AEA & DVR 	Endothelial	Lake2019
MEF2A	Endothelial Cells - AEA & DVR 	Endothelial	Lake2019
CRIM1	Endothelial Cells - AEA & DVR 	Endothelial	Lake2019
HSPA5	Endothelial Cells - AEA & DVR 	Endothelial	Lake2019
RPS6	Endothelial Cells - AEA & DVR 	Endothelial	Lake2019
RPL5	Endothelial Cells - AEA & DVR 	Endothelial	Lake2019
PDLIM5	Endothelial Cells - AEA & DVR 	Endothelial	Lake2019
PABPC1	Endothelial Cells - AEA & DVR 	Endothelial	Lake2019
RPL14	Endothelial Cells - AEA & DVR 	Endothelial	Lake2019
RPL3	Endothelial Cells - AEA & DVR 	Endothelial	Lake2019
NAMPT	Endothelial Cells - AEA & DVR 	Endothelial	Lake2019
AKAP13	Endothelial Cells - AEA & DVR 	Endothelial	Lake2019
CDC42BPA	Endothelial Cells - AEA & DVR 	Endothelial	Lake2019
RASAL2	Endothelial Cells - AEA & DVR 	Endothelial	Lake2019
BMPR2	Endothelial Cells - AEA & DVR 	Endothelial	Lake2019
APP	Endothelial Cells - AEA & DVR 	Endothelial	Lake2019
CD46	Endothelial Cells - AEA & DVR 	Endothelial	Lake2019
RPL10	Endothelial Cells - AEA & DVR 	Endothelial	Lake2019
IQGAP1	Endothelial Cells - AEA & DVR 	Endothelial	Lake2019
RPL4	Endothelial Cells - AEA & DVR 	Endothelial	Lake2019
H3F3B	Endothelial Cells - AEA & DVR 	Endothelial	Lake2019
AKT3	Endothelial Cells - AEA & DVR 	Endothelial	Lake2019
PTPRG	Endothelial Cells - AEA & DVR 	Endothelial	Lake2019
NPM1	Endothelial Cells - AEA & DVR 	Endothelial	Lake2019
DPYD	Endothelial Cells - AEA & DVR 	Endothelial	Lake2019
ROCK2	Endothelial Cells - AEA & DVR 	Endothelial	Lake2019
RPL11	Endothelial Cells - AEA & DVR 	Endothelial	Lake2019
PSAP	Endothelial Cells - AEA & DVR 	Endothelial	Lake2019
LIMCH1	Endothelial Cells - AEA & DVR 	Endothelial	Lake2019
HSPH1	Endothelial Cells - AEA & DVR 	Endothelial	Lake2019
YWHAB	Endothelial Cells - AEA & DVR 	Endothelial	Lake2019
UBE2D3	Endothelial Cells - AEA & DVR 	Endothelial	Lake2019
KIF5B	Endothelial Cells - AEA & DVR 	Endothelial	Lake2019
TPT1	Endothelial Cells - AEA & DVR 	Endothelial	Lake2019
EXOC6B	Endothelial Cells - AEA & DVR 	Endothelial	Lake2019
WWTR1	Endothelial Cells - AEA & DVR 	Endothelial	Lake2019
RPLP0	Endothelial Cells - AEA & DVR 	Endothelial	Lake2019
KLF12	Endothelial Cells - AEA & DVR 	Endothelial	Lake2019
SYNE1	Endothelial Cells - AEA & DVR 	Endothelial	Lake2019
RPL19	Endothelial Cells - AEA & DVR 	Endothelial	Lake2019
RPLP1	Endothelial Cells - AEA & DVR 	Endothelial	Lake2019
TJP1	Endothelial Cells - AEA & DVR 	Endothelial	Lake2019
RPS16	Endothelial Cells - AEA & DVR 	Endothelial	Lake2019
RPS18	Endothelial Cells - AEA & DVR 	Endothelial	Lake2019
MYL12B	Endothelial Cells - AEA & DVR 	Endothelial	Lake2019
RPL15	Endothelial Cells - AEA & DVR 	Endothelial	Lake2019
RPS5	Endothelial Cells - AEA & DVR 	Endothelial	Lake2019
APBB2	Endothelial Cells - AEA & DVR 	Endothelial	Lake2019
MMRN1	Endothelial Cells (unassigned)	Endothelial	Lake2019
SEMA3A	Endothelial Cells (unassigned)	Endothelial	Lake2019
TSHZ2	Endothelial Cells (unassigned)	Endothelial	Lake2019
PROX1	Endothelial Cells (unassigned)	Endothelial	Lake2019
CTD-3179P9.1	Endothelial Cells (unassigned)	Endothelial	Lake2019
LDB2	Endothelial Cells (unassigned)	Endothelial	Lake2019
ST6GALNAC3	Endothelial Cells (unassigned)	Endothelial	Lake2019
RALGAPA2	Endothelial Cells (unassigned)	Endothelial	Lake2019
TCF4	Endothelial Cells (unassigned)	Endothelial	Lake2019
KALRN	Endothelial Cells (unassigned)	Endothelial	Lake2019
PLCB4	Endothelial Cells (unassigned)	Endothelial	Lake2019
TFPI	Endothelial Cells (unassigned)	Endothelial	Lake2019
FBXL7	Endothelial Cells (unassigned)	Endothelial	Lake2019
ASAP1	Endothelial Cells (unassigned)	Endothelial	Lake2019
EFNA5	Endothelial Cells (unassigned)	Endothelial	Lake2019
STOX2	Endothelial Cells (unassigned)	Endothelial	Lake2019
PDE7B	Endothelial Cells (unassigned)	Endothelial	Lake2019
DOCK5	Endothelial Cells (unassigned)	Endothelial	Lake2019
UTRN	Endothelial Cells (unassigned)	Endothelial	Lake2019
PPP3CA	Endothelial Cells (unassigned)	Endothelial	Lake2019
TPM4	Endothelial Cells (unassigned)	Endothelial	Lake2019
DOCK9	Endothelial Cells (unassigned)	Endothelial	Lake2019
EPB41L4A	Endothelial Cells (unassigned)	Endothelial	Lake2019
CPNE8	Endothelial Cells (unassigned)	Endothelial	Lake2019
ARL15	Endothelial Cells (unassigned)	Endothelial	Lake2019
TCF12	Endothelial Cells (unassigned)	Endothelial	Lake2019
SSH2	Endothelial Cells (unassigned)	Endothelial	Lake2019
KMT2E	Endothelial Cells (unassigned)	Endothelial	Lake2019
FCHSD2	Endothelial Cells (unassigned)	Endothelial	Lake2019
TMEM161B-AS1	Endothelial Cells (unassigned)	Endothelial	Lake2019
ZFC3H1	Endothelial Cells (unassigned)	Endothelial	Lake2019
PPFIBP1	Endothelial Cells (unassigned)	Endothelial	Lake2019
FOXP1	Endothelial Cells (unassigned)	Endothelial	Lake2019
ZFHX3	Endothelial Cells (unassigned)	Endothelial	Lake2019
ZFAND3	Endothelial Cells (unassigned)	Endothelial	Lake2019
FOXP2	Endothelial Cells (unassigned)	Endothelial	Lake2019
MYH9	Endothelial Cells (unassigned)	Endothelial	Lake2019
SRPK2	Endothelial Cells (unassigned)	Endothelial	Lake2019
CAST	Endothelial Cells (unassigned)	Endothelial	Lake2019
POSTN	Mesangial Cells	Endothelial	Lake2019
PIEZO2	Mesangial Cells	Endothelial	Lake2019
IL18R1	Mesangial Cells	Endothelial	Lake2019
PDGFRB	Mesangial Cells	Endothelial	Lake2019
DAAM2	Mesangial Cells	Endothelial	Lake2019
RP11-627D16.1	Mesangial Cells	Endothelial	Lake2019
AGTR1	Mesangial Cells	Endothelial	Lake2019
ITGA11	Mesangial Cells	Endothelial	Lake2019
ITGA8	Mesangial Cells	Endothelial	Lake2019
EBF1	Mesangial Cells	Endothelial	Lake2019
DAPK2	Mesangial Cells	Endothelial	Lake2019
EMCN	Mesangial Cells	Endothelial	Lake2019
ROBO1	Mesangial Cells	Endothelial	Lake2019
RBMS3	Mesangial Cells	Endothelial	Lake2019
TMTC1	Mesangial Cells	Endothelial	Lake2019
PRR16	Mesangial Cells	Endothelial	Lake2019
UNC5C	Mesangial Cells	Endothelial	Lake2019
A2M	Mesangial Cells	Endothelial	Lake2019
COL12A1	Mesangial Cells	Endothelial	Lake2019
LAMA2	Mesangial Cells	Endothelial	Lake2019
PRKG1	Mesangial Cells	Endothelial	Lake2019
ENG	Mesangial Cells	Endothelial	Lake2019
CALD1	Mesangial Cells	Endothelial	Lake2019
IL1RAPL1	Mesangial Cells	Endothelial	Lake2019
GAS2	Mesangial Cells	Endothelial	Lake2019
COL25A1	Mesangial Cells	Endothelial	Lake2019
EPAS1	Mesangial Cells	Endothelial	Lake2019
ZEB2	Mesangial Cells	Endothelial	Lake2019
PDE3A	Mesangial Cells	Endothelial	Lake2019
SPARC	Mesangial Cells	Endothelial	Lake2019
SPOCK1	Mesangial Cells	Endothelial	Lake2019
HSPA1B	Mesangial Cells	Endothelial	Lake2019
MEIS1	Mesangial Cells	Endothelial	Lake2019
SYNE1	Mesangial Cells	Endothelial	Lake2019
ETS1	Mesangial Cells	Endothelial	Lake2019
PIP5K1B	Mesangial Cells	Endothelial	Lake2019
SLCO3A1	Mesangial Cells	Endothelial	Lake2019
TCF4	Mesangial Cells	Endothelial	Lake2019
PHTF2	Mesangial Cells	Endothelial	Lake2019
HSPA1A	Mesangial Cells	Endothelial	Lake2019
TIMP3	Mesangial Cells	Endothelial	Lake2019
PCDH9	Mesangial Cells	Endothelial	Lake2019
LHFP	Mesangial Cells	Endothelial	Lake2019
EPB41L2	Mesangial Cells	Endothelial	Lake2019
PRKCA	Mesangial Cells	Endothelial	Lake2019
C7	Mesangial Cells	Endothelial	Lake2019
KALRN	Mesangial Cells	Endothelial	Lake2019
FOSB	Mesangial Cells	Endothelial	Lake2019
ADGRF5	Mesangial Cells	Endothelial	Lake2019
GATA3	Mesangial Cells	Endothelial	Lake2019
MEIS2	Mesangial Cells	Endothelial	Lake2019
INPP4B	Mesangial Cells	Endothelial	Lake2019
DNAJB1	Mesangial Cells	Endothelial	Lake2019
DLC1	Mesangial Cells	Endothelial	Lake2019
MGP	Mesangial Cells	Endothelial	Lake2019
MEF2C	Mesangial Cells	Endothelial	Lake2019
PDE7B	Mesangial Cells	Endothelial	Lake2019
RAPGEF5	Mesangial Cells	Endothelial	Lake2019
RAPH1	Mesangial Cells	Endothelial	Lake2019
AKAP12	Mesangial Cells	Endothelial	Lake2019
CDC42BPA	Mesangial Cells	Endothelial	Lake2019
TEX41	Mesangial Cells	Endothelial	Lake2019
FOS	Mesangial Cells	Endothelial	Lake2019
ROCK2	Mesangial Cells	Endothelial	Lake2019
DOCK8	Mesangial Cells	Endothelial	Lake2019
PALLD	Mesangial Cells	Endothelial	Lake2019
PLCL1	Mesangial Cells	Endothelial	Lake2019
IGFBP5	Mesangial Cells	Endothelial	Lake2019
AQP1	Mesangial Cells	Endothelial	Lake2019
MAP3K5	Mesangial Cells	Endothelial	Lake2019
HSPB1	Mesangial Cells	Endothelial	Lake2019
DOCK4	Mesangial Cells	Endothelial	Lake2019
MTSS1	Mesangial Cells	Endothelial	Lake2019
NRG3	Mesangial Cells	Endothelial	Lake2019
AHNAK	Mesangial Cells	Endothelial	Lake2019
ITGA1	Mesangial Cells	Endothelial	Lake2019
EGR1	Mesangial Cells	Endothelial	Lake2019
MYO1E	Mesangial Cells	Endothelial	Lake2019
PPARG	Mesangial Cells	Endothelial	Lake2019
IL6ST	Mesangial Cells	Endothelial	Lake2019
APBB2	Mesangial Cells	Endothelial	Lake2019
MAML3	Mesangial Cells	Endothelial	Lake2019
RBMS1	Mesangial Cells	Endothelial	Lake2019
MYH9	Mesangial Cells	Endothelial	Lake2019
SPTBN1	Mesangial Cells	Endothelial	Lake2019
NR4A1	Mesangial Cells	Endothelial	Lake2019
TACC1	Mesangial Cells	Endothelial	Lake2019
TBC1D1	Mesangial Cells	Endothelial	Lake2019
NR2F2-AS1	Mesangial Cells	Endothelial	Lake2019
CPM	Mesangial Cells	Endothelial	Lake2019
FBXL7	Mesangial Cells	Endothelial	Lake2019
SLC38A2	Mesangial Cells	Endothelial	Lake2019
FCHSD2	Mesangial Cells	Endothelial	Lake2019
GPX3	Mesangial Cells	Endothelial	Lake2019
MAML2	Mesangial Cells	Endothelial	Lake2019
SSBP2	Mesangial Cells	Endothelial	Lake2019
NBEA	Mesangial Cells	Endothelial	Lake2019
ELL2	Mesangial Cells	Endothelial	Lake2019
SH3D19	Mesangial Cells	Endothelial	Lake2019
NEK7	Mesangial Cells	Endothelial	Lake2019
FRMD4A	Mesangial Cells	Endothelial	Lake2019
PSD3	Mesangial Cells	Endothelial	Lake2019
PLPP1	Mesangial Cells	Endothelial	Lake2019
IGFBP7	Mesangial Cells	Endothelial	Lake2019
TNS1	Mesangial Cells	Endothelial	Lake2019
MYO1D	Mesangial Cells	Endothelial	Lake2019
JUN	Mesangial Cells	Endothelial	Lake2019
SBF2	Mesangial Cells	Endothelial	Lake2019
CBLB	Mesangial Cells	Endothelial	Lake2019
HSPH1	Mesangial Cells	Endothelial	Lake2019
PDS5B	Mesangial Cells	Endothelial	Lake2019
TSC22D1	Mesangial Cells	Endothelial	Lake2019
NFKBIA	Mesangial Cells	Endothelial	Lake2019
ARID5B	Mesangial Cells	Endothelial	Lake2019
CAMK2D	Mesangial Cells	Endothelial	Lake2019
RORA	Mesangial Cells	Endothelial	Lake2019
DLEU2	Mesangial Cells	Endothelial	Lake2019
PTPRG	Mesangial Cells	Endothelial	Lake2019
