Gene	Cell_Type	Cell_Type2	Source
IQCJ-SCHIP1	Podocytes	Epithelial	Lake2019
SPOCK1	Podocytes	Epithelial	Lake2019
NPNT	Podocytes	Epithelial	Lake2019
C14orf37	Podocytes	Epithelial	Lake2019
SPOCK2	Podocytes	Epithelial	Lake2019
NFASC	Podocytes	Epithelial	Lake2019
SEMA5A	Podocytes	Epithelial	Lake2019
RP11-550H2.2	Podocytes	Epithelial	Lake2019
CDC14A	Podocytes	Epithelial	Lake2019
NEBL	Podocytes	Epithelial	Lake2019
ZNF804A	Podocytes	Epithelial	Lake2019
ATP10A	Podocytes	Epithelial	Lake2019
ABLIM2	Podocytes	Epithelial	Lake2019
NES	Podocytes	Epithelial	Lake2019
MME	Podocytes	Epithelial	Lake2019
ALS2CL	Podocytes	Epithelial	Lake2019
RYR3	Podocytes	Epithelial	Lake2019
ARHGAP28	Podocytes	Epithelial	Lake2019
HTRA1	Podocytes	Epithelial	Lake2019
UNC5C	Podocytes	Epithelial	Lake2019
SULF1	Podocytes	Epithelial	Lake2019
ARHGEF26	Podocytes	Epithelial	Lake2019
CR1	Podocytes	Epithelial	Lake2019
TGFBR3	Podocytes	Epithelial	Lake2019
DACH2	Podocytes	Epithelial	Lake2019
SRGAP2	Podocytes	Epithelial	Lake2019
PCOLCE2	Podocytes	Epithelial	Lake2019
FYN	Podocytes	Epithelial	Lake2019
WIPF3	Podocytes	Epithelial	Lake2019
SRGAP2C	Podocytes	Epithelial	Lake2019
ENPEP	Podocytes	Epithelial	Lake2019
VEGFA	Podocytes	Epithelial	Lake2019
LRRC2	Podocytes	Epithelial	Lake2019
CDKN1C	Podocytes	Epithelial	Lake2019
CMAHP	Podocytes	Epithelial	Lake2019
COL4A3	Podocytes	Epithelial	Lake2019
ST3GAL6	Podocytes	Epithelial	Lake2019
KIRREL	Podocytes	Epithelial	Lake2019
ZDHHC6	Podocytes	Epithelial	Lake2019
IQGAP2	Podocytes	Epithelial	Lake2019
PARD3B	Podocytes	Epithelial	Lake2019
RBFOX1	Podocytes	Epithelial	Lake2019
FRY	Podocytes	Epithelial	Lake2019
KLHL29	Podocytes	Epithelial	Lake2019
CBLB	Podocytes	Epithelial	Lake2019
INTS12	Podocytes	Epithelial	Lake2019
TENM2	Podocytes	Epithelial	Lake2019
VTI1A	Podocytes	Epithelial	Lake2019
MGAT5	Podocytes	Epithelial	Lake2019
CRIM1	Podocytes	Epithelial	Lake2019
SOX2-OT	Podocytes	Epithelial	Lake2019
PCED1B	Podocytes	Epithelial	Lake2019
TENM3	Podocytes	Epithelial	Lake2019
ITGB8	Podocytes	Epithelial	Lake2019
RERG	Podocytes	Epithelial	Lake2019
DOCK5	Podocytes	Epithelial	Lake2019
TJP1	Podocytes	Epithelial	Lake2019
PTPRD	Podocytes	Epithelial	Lake2019
CCDC91	Podocytes	Epithelial	Lake2019
CERS6	Podocytes	Epithelial	Lake2019
EXPH5	Podocytes	Epithelial	Lake2019
PRKG1	Podocytes	Epithelial	Lake2019
MTSS1	Podocytes	Epithelial	Lake2019
DST	Podocytes	Epithelial	Lake2019
CMYA5	Podocytes	Epithelial	Lake2019
LARGE	Podocytes	Epithelial	Lake2019
UACA	Podocytes	Epithelial	Lake2019
RP11-307N16.6	Podocytes	Epithelial	Lake2019
CA10	Podocytes	Epithelial	Lake2019
SRGAP1	Podocytes	Epithelial	Lake2019
KCNQ1OT1	Podocytes	Epithelial	Lake2019
GOLIM4	Podocytes	Epithelial	Lake2019
ACTN4	Podocytes	Epithelial	Lake2019
DLG2	Podocytes	Epithelial	Lake2019
ROBO2	Podocytes	Epithelial	Lake2019
FBXL7	Podocytes	Epithelial	Lake2019
MPP5	Podocytes	Epithelial	Lake2019
KLF7	Podocytes	Epithelial	Lake2019
MYH9	Podocytes	Epithelial	Lake2019
EPB41L5	Podocytes	Epithelial	Lake2019
COL4A4	Podocytes	Epithelial	Lake2019
MYO1D	Podocytes	Epithelial	Lake2019
FAM134B	Podocytes	Epithelial	Lake2019
GULP1	Podocytes	Epithelial	Lake2019
PDLIM5	Podocytes	Epithelial	Lake2019
MYO1E	Podocytes	Epithelial	Lake2019
ARHGEF3	Podocytes	Epithelial	Lake2019
MYO1B	Podocytes	Epithelial	Lake2019
ZNRF3	Podocytes	Epithelial	Lake2019
CTDSPL	Podocytes	Epithelial	Lake2019
PALLD	Podocytes	Epithelial	Lake2019
FRMD3	Podocytes	Epithelial	Lake2019
SGIP1	Podocytes	Epithelial	Lake2019
APBB2	Podocytes	Epithelial	Lake2019
CACNB2	Podocytes	Epithelial	Lake2019
SLC7A8	Podocytes	Epithelial	Lake2019
ADAMTS9	Podocytes	Epithelial	Lake2019
KANK1	Podocytes	Epithelial	Lake2019
ZSWIM6	Podocytes	Epithelial	Lake2019
PARD3	Podocytes	Epithelial	Lake2019
THSD7A	Podocytes	Epithelial	Lake2019
BACH1	Podocytes	Epithelial	Lake2019
ITGAV	Podocytes	Epithelial	Lake2019
CPNE8	Podocytes	Epithelial	Lake2019
MIB1	Podocytes	Epithelial	Lake2019
SLK	Podocytes	Epithelial	Lake2019
PTH1R	Podocytes	Epithelial	Lake2019
PTPN13	Podocytes	Epithelial	Lake2019
GPC6	Podocytes	Epithelial	Lake2019
ARHGEF12	Podocytes	Epithelial	Lake2019
TANC1	Podocytes	Epithelial	Lake2019
NLK	Podocytes	Epithelial	Lake2019
RABGAP1L	Podocytes	Epithelial	Lake2019
FTX	Podocytes	Epithelial	Lake2019
ADAMTS9-AS2	Podocytes	Epithelial	Lake2019
TET2	Podocytes	Epithelial	Lake2019
GPHN	Podocytes	Epithelial	Lake2019
CTTNBP2	Podocytes	Epithelial	Lake2019
PHACTR4	Podocytes	Epithelial	Lake2019
PAWR	Podocytes	Epithelial	Lake2019
AHNAK	Podocytes	Epithelial	Lake2019
GMDS	Podocytes	Epithelial	Lake2019
MACF1	Podocytes	Epithelial	Lake2019
CALD1	Podocytes	Epithelial	Lake2019
