Gene	Cell Type	General Cell Type
SOX2-OT	Podocytes	Epithelial
PCED1B	Podocytes	Epithelial
TENM3	Podocytes	Epithelial
ITGB8	Podocytes	Epithelial
RERG	Podocytes	Epithelial
DOCK5	Podocytes	Epithelial
TJP1	Podocytes	Epithelial
PTPRD	Podocytes	Epithelial
CCDC91	Podocytes	Epithelial
CERS6	Podocytes	Epithelial
EXPH5	Podocytes	Epithelial
PRKG1	Podocytes	Epithelial
MTSS1	Podocytes	Epithelial
DST	Podocytes	Epithelial
CMYA5	Podocytes	Epithelial
LARGE	Podocytes	Epithelial
UACA	Podocytes	Epithelial
RP11-307N16.6	Podocytes	Epithelial
CA10	Podocytes	Epithelial
SRGAP1	Podocytes	Epithelial
KCNQ1OT1	Podocytes	Epithelial
GOLIM4	Podocytes	Epithelial
ACTN4	Podocytes	Epithelial
DLG2	Podocytes	Epithelial
ROBO2	Podocytes	Epithelial
FBXL7	Podocytes	Epithelial
MPP5	Podocytes	Epithelial
KLF7	Podocytes	Epithelial
MYH9	Podocytes	Epithelial
EPB41L5	Podocytes	Epithelial
COL4A4	Podocytes	Epithelial
MYO1D	Podocytes	Epithelial
FAM134B	Podocytes	Epithelial
GULP1	Podocytes	Epithelial
PDLIM5	Podocytes	Epithelial
MYO1E	Podocytes	Epithelial
ARHGEF3	Podocytes	Epithelial
MYO1B	Podocytes	Epithelial
ZNRF3	Podocytes	Epithelial
CTDSPL	Podocytes	Epithelial
PALLD	Podocytes	Epithelial
FRMD3	Podocytes	Epithelial
SGIP1	Podocytes	Epithelial
APBB2	Podocytes	Epithelial
CACNB2	Podocytes	Epithelial
SLC7A8	Podocytes	Epithelial
ADAMTS9	Podocytes	Epithelial
KANK1	Podocytes	Epithelial
ZSWIM6	Podocytes	Epithelial
PARD3	Podocytes	Epithelial
THSD7A	Podocytes	Epithelial
BACH1	Podocytes	Epithelial
ITGAV	Podocytes	Epithelial
CPNE8	Podocytes	Epithelial
MIB1	Podocytes	Epithelial
SLK	Podocytes	Epithelial
PTH1R	Podocytes	Epithelial
PTPN13	Podocytes	Epithelial
GPC6	Podocytes	Epithelial
ARHGEF12	Podocytes	Epithelial
TANC1	Podocytes	Epithelial
NLK	Podocytes	Epithelial
RABGAP1L	Podocytes	Epithelial
FTX	Podocytes	Epithelial
ADAMTS9-AS2	Podocytes	Epithelial
TET2	Podocytes	Epithelial
GPHN	Podocytes	Epithelial
CTTNBP2	Podocytes	Epithelial
PHACTR4	Podocytes	Epithelial
PAWR	Podocytes	Epithelial
AHNAK	Podocytes	Epithelial
GMDS	Podocytes	Epithelial
MACF1	Podocytes	Epithelial
CALD1	Podocytes	Epithelial
P3H2	Podocytes	Epithelial
AKT3	Podocytes	Epithelial
CSPP1	Podocytes	Epithelial
FAT1	Podocytes	Epithelial
DOCK4	Podocytes	Epithelial
RBMS1	Podocytes	Epithelial
RASSF8	Podocytes	Epithelial
RP11-665G4.1	Podocytes	Epithelial
MAML3	Podocytes	Epithelial
PTPN14	Podocytes	Epithelial
GHR	Podocytes	Epithelial
ITGA1	Podocytes	Epithelial
WWOX	Podocytes	Epithelial
PICALM	Podocytes	Epithelial
PSD3	Podocytes	Epithelial
PLXDC2	Podocytes	Epithelial
BCKDHB	Podocytes	Epithelial
RDX	Podocytes	Epithelial
BICD1	Podocytes	Epithelial
CPEB4	Podocytes	Epithelial
CEP112	Podocytes	Epithelial
KIF13A	Podocytes	Epithelial
TEAD1	Podocytes	Epithelial
XIST	Podocytes	Epithelial
PAN3	Podocytes	Epithelial
UBE2E2	Podocytes	Epithelial
SIK3	Podocytes	Epithelial
PDE7B	Podocytes	Epithelial
SBF2	Podocytes	Epithelial
SSBP2	Podocytes	Epithelial
SH3RF1	Podocytes	Epithelial
SEPT11	Podocytes	Epithelial
FNDC3B	Podocytes	Epithelial
EML4	Podocytes	Epithelial
GPX3	Podocytes	Epithelial
ANKRD36	Podocytes	Epithelial
RAI14	Podocytes	Epithelial
QKI	Podocytes	Epithelial
SPATS2L	Podocytes	Epithelial
PCNXL4	Podocytes	Epithelial
FCHSD2	Podocytes	Epithelial
IGF1R	Podocytes	Epithelial
SPAG16	Podocytes	Epithelial
UTRN	Podocytes	Epithelial
FMNL2	Podocytes	Epithelial
MACROD2	Podocytes	Epithelial
HIVEP2	Podocytes	Epithelial
LUC7L3	Podocytes	Epithelial
PAM	Podocytes	Epithelial
CDK6	Podocytes	Epithelial
ERC1	Podocytes	Epithelial
ROCK1	Podocytes	Epithelial
ADD3	Podocytes	Epithelial
UBA6-AS1	Podocytes	Epithelial
CCDC148	Podocytes	Epithelial
CAST	Podocytes	Epithelial
RNF150	Podocytes	Epithelial
NCOA1	Podocytes	Epithelial
MBD5	Podocytes	Epithelial
DYNC2H1	Podocytes	Epithelial
ANKRD12	Podocytes	Epithelial
TBC1D1	Podocytes	Epithelial
CPQ	Podocytes	Epithelial
MSI2	Podocytes	Epithelial
BMPR2	Podocytes	Epithelial
SOX6	Podocytes	Epithelial
TMEM245	Podocytes	Epithelial
ERBB2IP	Podocytes	Epithelial
ANKRD11	Podocytes	Epithelial
KIF1B	Podocytes	Epithelial
EEA1	Podocytes	Epithelial
CUBN	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
SLC5A12	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
RP11-556I14.1	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
ACSM2B	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
SLC13A3	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
SORCS1	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
AFM	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
ACSM2A	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
SLC16A9	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
SMIM2-AS1	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
PLG	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
SLC13A1	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
SLC17A1	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
LRP2	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
GRAMD1B	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
SLC2A9	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
PCDH15	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
PDZD2	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
RP11-66B24.5	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
PTH1R	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
ZNF804B	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
LINC01060	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
LINC00871	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
SLC4A4	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
RP11-556I14.2	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
RHOBTB1	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
TINAG	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
TRPM3	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
RAB11FIP3	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
MME	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
SUGCT	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
MIR100HG	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
ANKS1B	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
CTD-3179P9.1	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
AGXT2	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
SLC28A1	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
SLC17A3	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
NOX4	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
KCNJ15	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
DPYS	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
RMST	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
ACMSD	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
SLC16A12	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
RP1-154K9.2	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
EBNA1BP2	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
NCKAP5	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
ALDOB	Proximal Tubule Epithelial Cells (S1/S2)	Epithelial
