Gene	Cell Type	General Cell Type
C9orf84	Collecting Duct - Intercalated Cells Type A (cortex)	Epithelial
HS6ST3	Collecting Duct - Intercalated Cells Type A (cortex)	Epithelial
ATP6V0D2	Collecting Duct - Intercalated Cells Type A (cortex)	Epithelial
WBSCR17	Collecting Duct - Intercalated Cells Type A (cortex)	Epithelial
RCAN2	Collecting Duct - Intercalated Cells Type A (cortex)	Epithelial
NXPH2	Collecting Duct - Intercalated Cells Type A (cortex)	Epithelial
AC133680.1	Collecting Duct - Intercalated Cells Type A (cortex)	Epithelial
THRB-AS1	Collecting Duct - Intercalated Cells Type A (cortex)	Epithelial
SLIT2	Collecting Duct - Intercalated Cells Type A (cortex)	Epithelial
ADAMTSL1	Collecting Duct - Intercalated Cells Type A (cortex)	Epithelial
SEMA3C	Collecting Duct - Intercalated Cells Type A (cortex)	Epithelial
ATP6V1C2	Collecting Duct - Intercalated Cells Type A (cortex)	Epithelial
MAGI1	Collecting Duct - Intercalated Cells Type A (cortex)	Epithelial
CACNB2	Collecting Duct - Intercalated Cells Type A (cortex)	Epithelial
CA8	Collecting Duct - Intercalated Cells Type A (cortex)	Epithelial
ITGA6	Collecting Duct - Intercalated Cells Type A (cortex)	Epithelial
TMEM101	Collecting Duct - Intercalated Cells Type A (cortex)	Epithelial
PTGER3	Collecting Duct - Intercalated Cells Type A (cortex)	Epithelial
TMEM117	Collecting Duct - Intercalated Cells Type A (cortex)	Epithelial
IL18	Collecting Duct - Intercalated Cells Type A (cortex)	Epithelial
MPPED2	Collecting Duct - Intercalated Cells Type A (cortex)	Epithelial
NRXN3	Collecting Duct - Intercalated Cells Type A (cortex)	Epithelial
SNTB1	Collecting Duct - Intercalated Cells Type A (cortex)	Epithelial
NEDD4L	Collecting Duct - Intercalated Cells Type A (cortex)	Epithelial
TMEM213	Collecting Duct - Intercalated Cells Type A (cortex)	Epithelial
ARHGAP18	Collecting Duct - Intercalated Cells Type A (cortex)	Epithelial
PLCG2	Collecting Duct - Intercalated Cells Type A (cortex)	Epithelial
EPS8	Collecting Duct - Intercalated Cells Type A (cortex)	Epithelial
CA12	Collecting Duct - Intercalated Cells Type A (cortex)	Epithelial
AC013463.2	Collecting Duct - Intercalated Cells Type A (cortex)	Epithelial
ABCC4	Collecting Duct - Intercalated Cells Type A (cortex)	Epithelial
C1orf168	Collecting Duct - Intercalated Cells Type A (cortex)	Epithelial
PRKG1	Collecting Duct - Intercalated Cells Type A (cortex)	Epithelial
ATP6V0A4	Collecting Duct - Intercalated Cells Type A (cortex)	Epithelial
PDE4D	Collecting Duct - Intercalated Cells Type A (cortex)	Epithelial
ESRRG	Collecting Duct - Intercalated Cells Type A (cortex)	Epithelial
GLCCI1	Collecting Duct - Intercalated Cells Type A (cortex)	Epithelial
FOXP1	Collecting Duct - Intercalated Cells Type A (cortex)	Epithelial
RP11-368L12.1	Collecting Duct - Intercalated Cells Type A (cortex)	Epithelial
SHROOM3	Collecting Duct - Intercalated Cells Type A (cortex)	Epithelial
GRB14	Collecting Duct - Intercalated Cells Type A (cortex)	Epithelial
PSD3	Collecting Duct - Intercalated Cells Type A (cortex)	Epithelial
DOCK8	Collecting Duct - Intercalated Cells Type A (cortex)	Epithelial
PLCL1	Collecting Duct - Intercalated Cells Type A (cortex)	Epithelial
ABCA5	Collecting Duct - Intercalated Cells Type A (cortex)	Epithelial
GPAT3	Collecting Duct - Intercalated Cells Type A (cortex)	Epithelial
ADGRF1	Collecting Duct - Intercalated Cells Type A (cortex)	Epithelial
AHCYL2	Collecting Duct - Intercalated Cells Type A (cortex)	Epithelial
RP11-16D22.2	Collecting Duct - Intercalated Cells Type A (cortex)	Epithelial
ARL15	Collecting Duct - Intercalated Cells Type A (cortex)	Epithelial
IGFBP5	Collecting Duct - Intercalated Cells Type A (cortex)	Epithelial
PCNXL4	Collecting Duct - Intercalated Cells Type A (cortex)	Epithelial
MOB1B	Collecting Duct - Intercalated Cells Type A (cortex)	Epithelial
FREM1	Collecting Duct - Intercalated Cells Type A (cortex)	Epithelial
TBC1D14	Collecting Duct - Intercalated Cells Type A (cortex)	Epithelial
ZBTB20	Collecting Duct - Intercalated Cells Type A (cortex)	Epithelial
ITPR2	Collecting Duct - Intercalated Cells Type A (cortex)	Epithelial
LINC00969	Collecting Duct - Intercalated Cells Type A (cortex)	Epithelial
C10orf11	Collecting Duct - Intercalated Cells Type A (cortex)	Epithelial
GULP1	Collecting Duct - Intercalated Cells Type A (cortex)	Epithelial
PDE1A	Collecting Duct - Intercalated Cells Type A (cortex)	Epithelial
TBC1D4	Collecting Duct - Intercalated Cells Type A (cortex)	Epithelial
MAGI3	Collecting Duct - Intercalated Cells Type A (cortex)	Epithelial
RP11-123O10.4	Collecting Duct - Intercalated Cells Type A (cortex)	Epithelial
FNDC3A	Collecting Duct - Intercalated Cells Type A (cortex)	Epithelial
THRB	Collecting Duct - Intercalated Cells Type A (cortex)	Epithelial
RNF152	Collecting Duct - Intercalated Cells Type A (cortex)	Epithelial
CAB39	Collecting Duct - Intercalated Cells Type A (cortex)	Epithelial
PPP1R12B	Collecting Duct - Intercalated Cells Type A (cortex)	Epithelial
AC007246.3	Collecting Duct - Intercalated Cells Type A (cortex)	Epithelial
MSI2	Collecting Duct - Intercalated Cells Type A (cortex)	Epithelial
OXR1	Collecting Duct - Intercalated Cells Type A (cortex)	Epithelial
XIST	Collecting Duct - Intercalated Cells Type A (cortex)	Epithelial
NR3C2	Collecting Duct - Intercalated Cells Type A (cortex)	Epithelial
TFCP2L1	Collecting Duct - Intercalated Cells Type A (cortex)	Epithelial
MAP4K3	Collecting Duct - Intercalated Cells Type A (cortex)	Epithelial
TBC1D1	Collecting Duct - Intercalated Cells Type A (cortex)	Epithelial
PARK2	Collecting Duct - Intercalated Cells Type A (cortex)	Epithelial
ZSWIM6	Collecting Duct - Intercalated Cells Type A (cortex)	Epithelial
RALGPS2	Collecting Duct - Intercalated Cells Type A (cortex)	Epithelial
SCIN	Collecting Duct - Intercalated Cells Type A (cortex)	Epithelial
KIAA1328	Collecting Duct - Intercalated Cells Type A (cortex)	Epithelial
SKAP1	Collecting Duct - Intercalated Cells Type A (cortex)	Epithelial
MYO1D	Collecting Duct - Intercalated Cells Type A (cortex)	Epithelial
SBF2	Collecting Duct - Intercalated Cells Type A (cortex)	Epithelial
FOXO1	Collecting Duct - Intercalated Cells Type A (cortex)	Epithelial
SAMD5	Collecting Duct - Intercalated Cells Type A (cortex)	Epithelial
ATP6V1A	Collecting Duct - Intercalated Cells Type A (cortex)	Epithelial
DSP	Collecting Duct - Intercalated Cells Type A (cortex)	Epithelial
PNISR	Collecting Duct - Intercalated Cells Type A (cortex)	Epithelial
GPHN	Collecting Duct - Intercalated Cells Type A (cortex)	Epithelial
PTPRJ	Collecting Duct - Intercalated Cells Type A (cortex)	Epithelial
UBR3	Collecting Duct - Intercalated Cells Type A (cortex)	Epithelial
CPEB4	Collecting Duct - Intercalated Cells Type A (cortex)	Epithelial
DIP2C	Collecting Duct - Intercalated Cells Type A (cortex)	Epithelial
NRD1	Collecting Duct - Intercalated Cells Type A (cortex)	Epithelial
MYO10	Collecting Duct - Intercalated Cells Type A (cortex)	Epithelial
LINC-PINT	Collecting Duct - Intercalated Cells Type A (cortex)	Epithelial
ITPR1	Collecting Duct - Intercalated Cells Type A (cortex)	Epithelial
PRKCA	Collecting Duct - Intercalated Cells Type A (cortex)	Epithelial
CLIP1	Collecting Duct - Intercalated Cells Type A (cortex)	Epithelial
THSD7A	Collecting Duct - Intercalated Cells Type A (cortex)	Epithelial
RERE	Collecting Duct - Intercalated Cells Type A (cortex)	Epithelial
WWOX	Collecting Duct - Intercalated Cells Type A (cortex)	Epithelial
FBXL17	Collecting Duct - Intercalated Cells Type A (cortex)	Epithelial
PPARGC1A	Collecting Duct - Intercalated Cells Type A (cortex)	Epithelial
MAPK8	Collecting Duct - Intercalated Cells Type A (cortex)	Epithelial
MTR	Collecting Duct - Intercalated Cells Type A (cortex)	Epithelial
TRIM2	Collecting Duct - Intercalated Cells Type A (cortex)	Epithelial
HIPK2	Collecting Duct - Intercalated Cells Type A (cortex)	Epithelial
COBLL1	Collecting Duct - Intercalated Cells Type A (cortex)	Epithelial
CGNL1	Collecting Duct - Intercalated Cells Type A (cortex)	Epithelial
PICALM	Collecting Duct - Intercalated Cells Type A (cortex)	Epithelial
STK3	Collecting Duct - Intercalated Cells Type A (cortex)	Epithelial
RP11-307N16.6	Collecting Duct - Intercalated Cells Type A (cortex)	Epithelial
AKAP9	Collecting Duct - Intercalated Cells Type A (cortex)	Epithelial
KIF21A	Collecting Duct - Intercalated Cells Type A (cortex)	Epithelial
MACROD2	Collecting Duct - Intercalated Cells Type A (cortex)	Epithelial
RAPGEF2	Collecting Duct - Intercalated Cells Type A (cortex)	Epithelial
KIAA1217	Collecting Duct - Intercalated Cells Type A (cortex)	Epithelial
RUFY3	Collecting Duct - Intercalated Cells Type A (cortex)	Epithelial
PPP3CA	Collecting Duct - Intercalated Cells Type A (cortex)	Epithelial
LUC7L3	Collecting Duct - Intercalated Cells Type A (cortex)	Epithelial
GMDS-AS1	Collecting Duct - Intercalated Cells Type A (cortex)	Epithelial
FAF1	Collecting Duct - Intercalated Cells Type A (cortex)	Epithelial
LGR4	Collecting Duct - Intercalated Cells Type A (cortex)	Epithelial
GLIS3	Collecting Duct - Intercalated Cells Type A (cortex)	Epithelial
SCAPER	Collecting Duct - Intercalated Cells Type A (cortex)	Epithelial
FNBP1L	Collecting Duct - Intercalated Cells Type A (cortex)	Epithelial
OSBPL3	Collecting Duct - Intercalated Cells Type A (cortex)	Epithelial
SETBP1	Collecting Duct - Intercalated Cells Type A (cortex)	Epithelial
PRKCE	Collecting Duct - Intercalated Cells Type A (cortex)	Epithelial
KANSL1L	Collecting Duct - Intercalated Cells Type A (cortex)	Epithelial
FGD4	Collecting Duct - Intercalated Cells Type A (cortex)	Epithelial
BDP1	Collecting Duct - Intercalated Cells Type A (cortex)	Epithelial
ATXN1	Collecting Duct - Intercalated Cells Type A (cortex)	Epithelial
ITGAV	Collecting Duct - Intercalated Cells Type A (cortex)	Epithelial
EZR	Collecting Duct - Intercalated Cells Type A (cortex)	Epithelial
GNAQ	Collecting Duct - Intercalated Cells Type A (cortex)	Epithelial
MBNL1	Collecting Duct - Intercalated Cells Type A (cortex)	Epithelial
DPH6	Collecting Duct - Intercalated Cells Type A (cortex)	Epithelial
RALGAPA1	Collecting Duct - Intercalated Cells Type A (cortex)	Epithelial
SUMF1	Collecting Duct - Intercalated Cells Type A (cortex)	Epithelial
FER	Collecting Duct - Intercalated Cells Type A (cortex)	Epithelial
BRAF	Collecting Duct - Intercalated Cells Type A (cortex)	Epithelial
LIMCH1	Collecting Duct - Intercalated Cells Type A (cortex)	Epithelial
BTBD9	Collecting Duct - Intercalated Cells Type A (cortex)	Epithelial
WWP1	Collecting Duct - Intercalated Cells Type A (cortex)	Epithelial
RBM25	Collecting Duct - Intercalated Cells Type A (cortex)	Epithelial
NCOA2	Collecting Duct - Intercalated Cells Type A (cortex)	Epithelial
NCOA1	Collecting Duct - Intercalated Cells Type A (cortex)	Epithelial
ARHGEF28	Collecting Duct - Intercalated Cells Type A (cortex)	Epithelial
DLG1	Collecting Duct - Intercalated Cells Type A (cortex)	Epithelial
SNHG14	Collecting Duct - Intercalated Cells Type A (cortex)	Epithelial
SLC26A4	Collecting Duct - Intercalated Cells Type B	Epithelial
SLC4A9	Collecting Duct - Intercalated Cells Type B	Epithelial
SLC35F3	Collecting Duct - Intercalated Cells Type B	Epithelial
DGKI	Collecting Duct - Intercalated Cells Type B	Epithelial
CLNK	Collecting Duct - Intercalated Cells Type B	Epithelial
ADAMTSL3	Collecting Duct - Intercalated Cells Type B	Epithelial
CA8	Collecting Duct - Intercalated Cells Type B	Epithelial
RCAN2	Collecting Duct - Intercalated Cells Type B	Epithelial
ADAMTSL1	Collecting Duct - Intercalated Cells Type B	Epithelial
PDE1C	Collecting Duct - Intercalated Cells Type B	Epithelial
PLCG2	Collecting Duct - Intercalated Cells Type B	Epithelial
PACRG	Collecting Duct - Intercalated Cells Type B	Epithelial
CELF2	Collecting Duct - Intercalated Cells Type B	Epithelial
WDR72	Collecting Duct - Intercalated Cells Type B	Epithelial
CA12	Collecting Duct - Intercalated Cells Type B	Epithelial
ATP6V0D2	Collecting Duct - Intercalated Cells Type B	Epithelial
IL18	Collecting Duct - Intercalated Cells Type B	Epithelial
MYRIP	Collecting Duct - Intercalated Cells Type B	Epithelial
EPS8	Collecting Duct - Intercalated Cells Type B	Epithelial
ARSJ	Collecting Duct - Intercalated Cells Type B	Epithelial
NEDD4L	Collecting Duct - Intercalated Cells Type B	Epithelial
MAGI1	Collecting Duct - Intercalated Cells Type B	Epithelial
ATP6V0A4	Collecting Duct - Intercalated Cells Type B	Epithelial
ZBTB20	Collecting Duct - Intercalated Cells Type B	Epithelial
ARL15	Collecting Duct - Intercalated Cells Type B	Epithelial
SEMA3C	Collecting Duct - Intercalated Cells Type B	Epithelial
SNTB1	Collecting Duct - Intercalated Cells Type B	Epithelial
RORA	Collecting Duct - Intercalated Cells Type B	Epithelial
FHIT	Collecting Duct - Intercalated Cells Type B	Epithelial
IGFBP5	Collecting Duct - Intercalated Cells Type B	Epithelial
BMPR1B	Collecting Duct - Intercalated Cells Type B	Epithelial
TMEM117	Collecting Duct - Intercalated Cells Type B	Epithelial
RNF152	Collecting Duct - Intercalated Cells Type B	Epithelial
PSD3	Collecting Duct - Intercalated Cells Type B	Epithelial
NEBL	Collecting Duct - Intercalated Cells Type B	Epithelial
C10orf11	Collecting Duct - Intercalated Cells Type B	Epithelial
GPHN	Collecting Duct - Intercalated Cells Type B	Epithelial
FOXP1	Collecting Duct - Intercalated Cells Type B	Epithelial
MAGI3	Collecting Duct - Intercalated Cells Type B	Epithelial
ITGA6	Collecting Duct - Intercalated Cells Type B	Epithelial
IQGAP2	Collecting Duct - Intercalated Cells Type B	Epithelial
SPTLC3	Collecting Duct - Intercalated Cells Type B	Epithelial
PLCL1	Collecting Duct - Intercalated Cells Type B	Epithelial
PICALM	Collecting Duct - Intercalated Cells Type B	Epithelial
XIST	Collecting Duct - Intercalated Cells Type B	Epithelial
LGR4	Collecting Duct - Intercalated Cells Type B	Epithelial
DACH1	Collecting Duct - Intercalated Cells Type B	Epithelial
MAP3K5	Collecting Duct - Intercalated Cells Type B	Epithelial
GLCCI1	Collecting Duct - Intercalated Cells Type B	Epithelial
TBL1X	Collecting Duct - Intercalated Cells Type B	Epithelial
PDE4D	Collecting Duct - Intercalated Cells Type B	Epithelial
TMEM213	Collecting Duct - Intercalated Cells Type B	Epithelial
PPARG	Collecting Duct - Intercalated Cells Type B	Epithelial
ATP6V1H	Collecting Duct - Intercalated Cells Type B	Epithelial
NR3C2	Collecting Duct - Intercalated Cells Type B	Epithelial
JADE1	Collecting Duct - Intercalated Cells Type B	Epithelial
GAREM	Collecting Duct - Intercalated Cells Type B	Epithelial
ARHGAP18	Collecting Duct - Intercalated Cells Type B	Epithelial
MSI2	Collecting Duct - Intercalated Cells Type B	Epithelial
SCIN	Collecting Duct - Intercalated Cells Type B	Epithelial
FOXO1	Collecting Duct - Intercalated Cells Type B	Epithelial
PPP3CA	Collecting Duct - Intercalated Cells Type B	Epithelial
TBC1D4	Collecting Duct - Intercalated Cells Type B	Epithelial
ESRRG	Collecting Duct - Intercalated Cells Type B	Epithelial
PPARGC1A	Collecting Duct - Intercalated Cells Type B	Epithelial
HERC1	Collecting Duct - Intercalated Cells Type B	Epithelial
FREM1	Collecting Duct - Intercalated Cells Type B	Epithelial
TFCP2L1	Collecting Duct - Intercalated Cells Type B	Epithelial
PRKCE	Collecting Duct - Intercalated Cells Type B	Epithelial
GPC6	Collecting Duct - Intercalated Cells Type B	Epithelial
LPP	Collecting Duct - Intercalated Cells Type B	Epithelial
PARD3B	Collecting Duct - Intercalated Cells Type B	Epithelial
COL4A4	Collecting Duct - Intercalated Cells Type B	Epithelial
RALGAPA2	Collecting Duct - Intercalated Cells Type B	Epithelial
SIK3	Collecting Duct - Intercalated Cells Type B	Epithelial
RNF150	Collecting Duct - Intercalated Cells Type B	Epithelial
SSBP2	Collecting Duct - Intercalated Cells Type B	Epithelial
MACROD2	Collecting Duct - Intercalated Cells Type B	Epithelial
MEF2A	Collecting Duct - Intercalated Cells Type B	Epithelial
MITF	Collecting Duct - Intercalated Cells Type B	Epithelial
OSBPL3	Collecting Duct - Intercalated Cells Type B	Epithelial
FBXL17	Collecting Duct - Intercalated Cells Type B	Epithelial
TBC1D5	Collecting Duct - Intercalated Cells Type B	Epithelial
SOX6	Collecting Duct - Intercalated Cells Type B	Epithelial
KMT2C	Collecting Duct - Intercalated Cells Type B	Epithelial
SKAP1	Collecting Duct - Intercalated Cells Type B	Epithelial
NCOA2	Collecting Duct - Intercalated Cells Type B	Epithelial
UBE2E2	Collecting Duct - Intercalated Cells Type B	Epithelial
L3MBTL4	Collecting Duct - Intercalated Cells Type B	Epithelial
GULP1	Collecting Duct - Intercalated Cells Type B	Epithelial
SDCCAG8	Collecting Duct - Intercalated Cells Type B	Epithelial
PARK2	Collecting Duct - Intercalated Cells Type B	Epithelial
CGNL1	Collecting Duct - Intercalated Cells Type B	Epithelial
QKI	Collecting Duct - Intercalated Cells Type B	Epithelial
TRHDE	Collecting Duct - Intercalated Cells Type B	Epithelial
WWOX	Collecting Duct - Intercalated Cells Type B	Epithelial
FAF1	Collecting Duct - Intercalated Cells Type B	Epithelial
PHLDB2	Collecting Duct - Intercalated Cells Type B	Epithelial
KIF13B	Collecting Duct - Intercalated Cells Type B	Epithelial
NCOA7	Collecting Duct - Intercalated Cells Type B	Epithelial
MAPK8	Collecting Duct - Intercalated Cells Type B	Epithelial
KIF21A	Collecting Duct - Intercalated Cells Type B	Epithelial
PTPRJ	Collecting Duct - Intercalated Cells Type B	Epithelial
EMCN	Endothelial Cells - glomerular capillaries	Endothelial
LDB2	Endothelial Cells - glomerular capillaries	Endothelial
FLT1	Endothelial Cells - glomerular capillaries	Endothelial
PTPRB	Endothelial Cells - glomerular capillaries	Endothelial
HECW2	Endothelial Cells - glomerular capillaries	Endothelial
RAPGEF4	Endothelial Cells - glomerular capillaries	Endothelial
PLAT	Endothelial Cells - glomerular capillaries	Endothelial
TEK	Endothelial Cells - glomerular capillaries	Endothelial
MEIS2	Endothelial Cells - glomerular capillaries	Endothelial
PLPP1	Endothelial Cells - glomerular capillaries	Endothelial
CHRM3	Endothelial Cells - glomerular capillaries	Endothelial
ITGA8	Endothelial Cells - glomerular capillaries	Endothelial
PREX2	Endothelial Cells - glomerular capillaries	Endothelial
GNA14	Endothelial Cells - glomerular capillaries	Endothelial
SLCO2A1	Endothelial Cells - glomerular capillaries	Endothelial
IGFBP5	Endothelial Cells - glomerular capillaries	Endothelial
ZEB1	Endothelial Cells - glomerular capillaries	Endothelial
SHANK3	Endothelial Cells - glomerular capillaries	Endothelial
RBMS3	Endothelial Cells - glomerular capillaries	Endothelial
NRG3	Endothelial Cells - glomerular capillaries	Endothelial
EPAS1	Endothelial Cells - glomerular capillaries	Endothelial
ADGRF5	Endothelial Cells - glomerular capillaries	Endothelial
CDH13	Endothelial Cells - glomerular capillaries	Endothelial
TIMP3	Endothelial Cells - glomerular capillaries	Endothelial
ELMO1	Endothelial Cells - glomerular capillaries	Endothelial
SYNE1	Endothelial Cells - glomerular capillaries	Endothelial
NOSTRIN	Endothelial Cells - glomerular capillaries	Endothelial
GRB10	Endothelial Cells - glomerular capillaries	Endothelial
TCF4	Endothelial Cells - glomerular capillaries	Endothelial
SNED1	Endothelial Cells - glomerular capillaries	Endothelial
PTPRM	Endothelial Cells - glomerular capillaries	Endothelial
ST6GALNAC3	Endothelial Cells - glomerular capillaries	Endothelial
DOCK4	Endothelial Cells - glomerular capillaries	Endothelial
EBF1	Endothelial Cells - glomerular capillaries	Endothelial
TGFBR2	Endothelial Cells - glomerular capillaries	Endothelial
PLPP3	Endothelial Cells - glomerular capillaries	Endothelial
HSPA1A	Endothelial Cells - glomerular capillaries	Endothelial
RASAL2	Endothelial Cells - glomerular capillaries	Endothelial
CACNA1C	Endothelial Cells - glomerular capillaries	Endothelial
TMTC1	Endothelial Cells - glomerular capillaries	Endothelial
DNAJB1	Endothelial Cells - glomerular capillaries	Endothelial
PBX1	Endothelial Cells - glomerular capillaries	Endothelial
PIP4K2A	Endothelial Cells - glomerular capillaries	Endothelial
ADGRL2	Endothelial Cells - glomerular capillaries	Endothelial
PTPRG	Endothelial Cells - glomerular capillaries	Endothelial
HIVEP3	Endothelial Cells - glomerular capillaries	Endothelial
ASAP1	Endothelial Cells - glomerular capillaries	Endothelial
PITPNC1	Endothelial Cells - glomerular capillaries	Endothelial
PEAK1	Endothelial Cells - glomerular capillaries	Endothelial
FOS	Endothelial Cells - glomerular capillaries	Endothelial
AKAP12	Endothelial Cells - glomerular capillaries	Endothelial
FBXL7	Endothelial Cells - glomerular capillaries	Endothelial
SEC14L1	Endothelial Cells - glomerular capillaries	Endothelial
ANKS1A	Endothelial Cells - glomerular capillaries	Endothelial
AKT3	Endothelial Cells - glomerular capillaries	Endothelial
ARHGAP26	Endothelial Cells - glomerular capillaries	Endothelial
ST6GAL1	Endothelial Cells - glomerular capillaries	Endothelial
KALRN	Endothelial Cells - glomerular capillaries	Endothelial
LIMCH1	Endothelial Cells - glomerular capillaries	Endothelial
PPFIBP1	Endothelial Cells - glomerular capillaries	Endothelial
SPTBN1	Endothelial Cells - glomerular capillaries	Endothelial
GNAQ	Endothelial Cells - glomerular capillaries	Endothelial
LIFR	Endothelial Cells - glomerular capillaries	Endothelial
TACC1	Endothelial Cells - glomerular capillaries	Endothelial
ARGLU1	Endothelial Cells - glomerular capillaries	Endothelial
PRKCA	Endothelial Cells - glomerular capillaries	Endothelial
APBB2	Endothelial Cells - glomerular capillaries	Endothelial
ITGA1	Endothelial Cells - glomerular capillaries	Endothelial
PRKG1	Endothelial Cells - glomerular capillaries	Endothelial
PIK3C2A	Endothelial Cells - glomerular capillaries	Endothelial
MTSS1	Endothelial Cells - glomerular capillaries	Endothelial
ZBTB16	Endothelial Cells - glomerular capillaries	Endothelial
RBMS1	Endothelial Cells - glomerular capillaries	Endothelial
NTN4	Endothelial Cells - glomerular capillaries	Endothelial
HLA-E	Endothelial Cells - glomerular capillaries	Endothelial
ARL15	Endothelial Cells - glomerular capillaries	Endothelial
TTC28	Endothelial Cells - glomerular capillaries	Endothelial
HERC1	Endothelial Cells - glomerular capillaries	Endothelial
HSPH1	Endothelial Cells - glomerular capillaries	Endothelial
SMYD3	Endothelial Cells - glomerular capillaries	Endothelial
PLXDC2	Endothelial Cells - glomerular capillaries	Endothelial
MAML3	Endothelial Cells - glomerular capillaries	Endothelial
IL6ST	Endothelial Cells - glomerular capillaries	Endothelial
FCHSD2	Endothelial Cells - glomerular capillaries	Endothelial
PIAS1	Endothelial Cells - glomerular capillaries	Endothelial
BMPR2	Endothelial Cells - glomerular capillaries	Endothelial
GPX3	Endothelial Cells - glomerular capillaries	Endothelial
DNAJC1	Endothelial Cells - glomerular capillaries	Endothelial
UTRN	Endothelial Cells - glomerular capillaries	Endothelial
NKTR	Endothelial Cells - glomerular capillaries	Endothelial
CACNA2D1	Endothelial Cells - glomerular capillaries	Endothelial
MEF2A	Endothelial Cells - glomerular capillaries	Endothelial
LDLRAD4	Endothelial Cells - glomerular capillaries	Endothelial
COL4A2	Endothelial Cells - glomerular capillaries	Endothelial
DPYD	Endothelial Cells - glomerular capillaries	Endothelial
LRCH1	Endothelial Cells - glomerular capillaries	Endothelial
STARD13	Endothelial Cells - glomerular capillaries	Endothelial
ALDOB	Endothelial Cells - glomerular capillaries	Endothelial
CADPS2	Endothelial Cells - glomerular capillaries	Endothelial
FKBP5	Endothelial Cells - glomerular capillaries	Endothelial
MED13L	Endothelial Cells - glomerular capillaries	Endothelial
MYO1E	Endothelial Cells - glomerular capillaries	Endothelial
RFX3	Endothelial Cells - glomerular capillaries	Endothelial
HSP90AA1	Endothelial Cells - glomerular capillaries	Endothelial
CALD1	Endothelial Cells - glomerular capillaries	Endothelial
APP	Endothelial Cells - glomerular capillaries	Endothelial
ARHGEF3	Endothelial Cells - glomerular capillaries	Endothelial
KIAA1217	Endothelial Cells - glomerular capillaries	Endothelial
CEP112	Endothelial Cells - glomerular capillaries	Endothelial
UACA	Endothelial Cells - glomerular capillaries	Endothelial
QKI	Endothelial Cells - glomerular capillaries	Endothelial
MACROD2	Endothelial Cells - glomerular capillaries	Endothelial
EXOC6B	Endothelial Cells - glomerular capillaries	Endothelial
JMJD1C	Endothelial Cells - glomerular capillaries	Endothelial
GPC5	Endothelial Cells - glomerular capillaries	Endothelial
MACF1	Endothelial Cells - glomerular capillaries	Endothelial
SBF2	Endothelial Cells - glomerular capillaries	Endothelial
PRKCE	Endothelial Cells - glomerular capillaries	Endothelial
NFIA	Endothelial Cells - glomerular capillaries	Endothelial
TJP1	Endothelial Cells - glomerular capillaries	Endothelial
ZSWIM6	Endothelial Cells - glomerular capillaries	Endothelial
FMNL2	Endothelial Cells - glomerular capillaries	Endothelial
DYRK1A	Endothelial Cells - glomerular capillaries	Endothelial
PAN3	Endothelial Cells - glomerular capillaries	Endothelial
ARHGEF12	Endothelial Cells - glomerular capillaries	Endothelial
PDE8A	Endothelial Cells - glomerular capillaries	Endothelial
COL4A1	Endothelial Cells - glomerular capillaries	Endothelial
EPB41L4A	Endothelial Cells - glomerular capillaries	Endothelial
SVIL	Endothelial Cells - glomerular capillaries	Endothelial
RABGAP1L	Endothelial Cells - glomerular capillaries	Endothelial
BCAS3	Endothelial Cells - glomerular capillaries	Endothelial
NCOA1	Endothelial Cells - glomerular capillaries	Endothelial
SORBS2	Endothelial Cells - glomerular capillaries	Endothelial
MBNL1	Endothelial Cells - glomerular capillaries	Endothelial
HIPK2	Endothelial Cells - glomerular capillaries	Endothelial
SASH1	Endothelial Cells - glomerular capillaries	Endothelial
HIBCH	Endothelial Cells - glomerular capillaries	Endothelial
DNASE1L3	Endothelial Cells - AVR	Endothelial
GPM6A	Endothelial Cells - AVR	Endothelial
ADGRL4	Endothelial Cells - AVR	Endothelial
EGFL7	Endothelial Cells - AVR	Endothelial
PECAM1	Endothelial Cells - AVR	Endothelial
SDPR	Endothelial Cells - AVR	Endothelial
CEACAM1	Endothelial Cells - AVR	Endothelial
TLL1	Endothelial Cells - AVR	Endothelial
ENG	Endothelial Cells - AVR	Endothelial
LDB2	Endothelial Cells - AVR	Endothelial
PLAT	Endothelial Cells - AVR	Endothelial
HLA-DRB1	Endothelial Cells - AVR	Endothelial
IGFBP5	Endothelial Cells - AVR	Endothelial
FN1	Endothelial Cells - AVR	Endothelial
HLA-DRA	Endothelial Cells - AVR	Endothelial
MEIS2	Endothelial Cells - AVR	Endothelial
SH3BP5	Endothelial Cells - AVR	Endothelial
EMCN	Endothelial Cells - AVR	Endothelial
FLT1	Endothelial Cells - AVR	Endothelial
CD74	Endothelial Cells - AVR	Endothelial
ZNF385D	Endothelial Cells - AVR	Endothelial
B2M	Endothelial Cells - AVR	Endothelial
ZEB1	Endothelial Cells - AVR	Endothelial
HLA-B	Endothelial Cells - AVR	Endothelial
PTPRB	Endothelial Cells - AVR	Endothelial
CD59	Endothelial Cells - AVR	Endothelial
HLA-E	Endothelial Cells - AVR	Endothelial
RBMS3	Endothelial Cells - AVR	Endothelial
ST6GALNAC3	Endothelial Cells - AVR	Endothelial
TCF4	Endothelial Cells - AVR	Endothelial
IFITM3	Endothelial Cells - AVR	Endothelial
VIM	Endothelial Cells - AVR	Endothelial
EPAS1	Endothelial Cells - AVR	Endothelial
