genes,ID,logFC,AveExpr,t,P.Value,adj.P.Val,B
ENSG00000110660.14;SLC35F2,SLC35F2,0.430229924804503,4.80423824023485,6.05205206534519,3.07958264850802e-05,0.000742000062175835,2.06562259967327
ENSG00000189403.14;HMGB1,HMGB1,0.220091535088279,8.48061103519314,6.42908121042175,1.63696671146608e-05,0.000445163366961489,2.04429252906666
ENSG00000146021.14;KLHL3,KLHL3,-1.4237970541398,1.5889256490554,-5.80285450061286,4.72703559524271e-05,0.00102135636415077,2.04085729053626
ENSG00000156675.15;RAB11FIP1,RAB11FIP1,0.265974646990824,6.55033180021042,6.27150250427972,2.12670870440636e-05,0.000551356320646363,2.0314841296416
ENSG00000167972.13;ABCA3,ABCA3,0.407402706355858,5.00626927586216,6.11160630016857,2.78337562330832e-05,0.000685062729362113,2.02637762140329
ENSG00000152953.12;STK32B,STK32B,0.541308162111759,3.87709135126491,5.9905004977708,3.42065734408002e-05,0.000810124986580901,2.02177815951384
ENSG00000141503.15;MINK1,MINK1,0.309058496128357,6.75671579404843,6.26811423948066,2.13879153403728e-05,0.000553014130157194,2.01875643976475
ENSG00000277443.2;MARCKS,MARCKS,-0.531665956594628,8.11606215729111,-6.39508353499273,1.73156195641287e-05,0.000467617926117944,2.01162514980145
ENSG00000183876.8;ARSI,ARSI,-0.474236752611665,4.36892839909857,-6.05760831677985,3.05059953235286e-05,0.000735928750708052,2.01139684369807
ENSG00000204569.9;PPP1R10,PPP1R10,0.301895601122455,6.87762615961618,6.26406546490978,2.1533243380064e-05,0.000555294939366001,2.00630695104829
ENSG00000135298.13;ADGRB3,ADGRB3,1.76861436774987,0.595521520953255,5.6272881360927,6.42602379391401e-05,0.00131810067825894,2.00252282681582
ENSG00000168615.11;ADAM9,ADAM9,0.231995344175536,8.80147318328385,6.45066180775269,1.57975053179363e-05,0.000433851261867166,1.99953288575621
ENSG00000104611.11;SH2D4A,SH2D4A,-0.377930550015665,5.74685648480992,-6.18615035186472,2.45413349033285e-05,0.000618912731336341,1.99593872465666
ENSG00000138028.15;CGREF1,CGREF1,-0.610784440492336,1.86457657032686,-5.80994877229757,4.66916526289353e-05,0.00101665452823854,1.98416532479935
ENSG00000142910.15;TINAGL1,TINAGL1,-0.26990032529228,6.81772345154197,-6.29216661369072,2.05455288624912e-05,0.000538392538008462,1.98209596835175
ENSG00000113578.17;FGF1,FGF1,-0.816665068379633,3.45579732685368,-5.93762146446422,3.74526208038866e-05,0.000867972299059322,1.97532269560463
ENSG00000118508.4;RAB32,RAB32,-0.275006322043966,6.35040114970953,-6.20919454726926,2.36082782316118e-05,0.000596930249590974,1.97137191695767
ENSG00000196890.4;HIST3H2BB,HIST3H2BB,-0.487821918856161,3.18677530031966,-5.8850998086384,4.09973329692924e-05,0.00092337488037323,1.96614905926253
ENSG00000219445.2;AC019155.2,AC019155.2,2.57955163699862,-0.118386230531415,5.68226323531715,5.83427095130045e-05,0.00121500937469996,1.96191661338293
ENSG00000135318.11;NT5E,NT5E,-0.269725111144047,7.13216197385621,-6.24082439649952,2.23877577328845e-05,0.000573527748825042,1.96105965039867
ENSG00000187866.8;FAM122A,FAM122A,-0.451860712180731,4.25675693362044,-5.96539229332576,3.5709486588775e-05,0.000839211135356374,1.95678032271028
ENSG00000049089.14;COL9A2,COL9A2,-1.12553306231289,1.4935523160513,-5.70057606455878,5.65003123490567e-05,0.00118766710628655,1.93970611633385
ENSG00000011347.9;SYT7,SYT7,-2.97411838444043,-2.22117938241789,-5.82389195526832,4.55757514015089e-05,0.00100132758220445,1.931612176543
ENSG00000104885.17;DOT1L,DOT1L,0.437869518227161,5.7241186087205,6.09348112689013,2.8702263139465e-05,0.000700234384546747,1.9284689195211
ENSG00000067066.16;SP100,SP100,-0.254562581046015,7.28184513541985,-6.2823339108332,2.08856125636824e-05,0.000545100470722471,1.92173702630389
ENSG00000154678.16;PDE1C,PDE1C,-0.240741387911451,7.63403347580002,-6.32085773321326,1.95860100282427e-05,0.000517432580148303,1.91295461166618
ENSG00000137965.10;IFI44,IFI44,-0.303062428492458,6.83250900119919,-6.22707765308022,2.29098714923228e-05,0.000583062226828173,1.90869568480266
ENSG00000117984.13;CTSD,CTSD,-0.279822157028356,7.74404048023433,-6.30742203586352,2.00293471007185e-05,0.000526996786233249,1.90349478548543
ENSG00000167562.12;ZNF701,ZNF701,-0.590901780073942,4.07561102120747,-5.91503649236548,3.89358707516281e-05,0.000888210206441945,1.90135483010394
ENSG00000197128.11;ZNF772,ZNF772,-0.559764600112988,3.8521720959313,-5.88725837190129,4.08449388889264e-05,0.000923018394387191,1.89062426837741
ENSG00000145703.15;IQGAP2,IQGAP2,-2.24566417425378,-1.43123852214246,-5.58918616324318,6.87269201878851e-05,0.00138336049289155,1.88921175028842
ENSG00000164342.12;TLR3,TLR3,-0.623323910259954,5.22686028255101,-6.09581011985288,2.85890915559245e-05,0.000698349618358538,1.86989849220405
ENSG00000171867.16;PRNP,PRNP,-0.247553991348058,7.02745781827093,-6.20968067093224,2.35890007285982e-05,0.000596930249590974,1.86144479419387
ENSG00000131724.10;IL13RA1,IL13RA1,-0.27962959930073,6.12538807003831,-6.14177858550193,2.64485537986755e-05,0.00065678886342458,1.85435095447171
ENSG00000160888.6;IER2,IER2,-0.447388039827005,5.67724278998486,-6.06515368872033,3.01169744977528e-05,0.000730167646052749,1.8519798478923
ENSG00000154319.15;FAM167A,FAM167A,0.504908504690455,4.214559433149,5.88620914283024,4.09189400364288e-05,0.000923018394387191,1.83770608721259
ENSG00000078043.15;PIAS2,PIAS2,-0.367354542519393,5.48158579374633,-6.04373488438616,3.12350804618529e-05,0.00074890440356611,1.83622618581788
ENSG00000166394.14;CYB5R2,CYB5R2,1.81952351857729,-0.288646639312165,5.59246347758665,6.83302780124935e-05,0.00137823021335573,1.83007924731105
ENSG00000139211.6;AMIGO2,AMIGO2,0.383178852291532,5.03538612776912,5.94781484399726,3.68026690959756e-05,0.00085494754827019,1.82536123255142
ENSG00000079308.18;TNS1,TNS1,-0.487931302482453,6.40175579419711,-6.1705484945183,2.51949519752766e-05,0.000632933651430592,1.81219241588564
