genes,ID,logFC,AveExpr,t,P.Value,adj.P.Val,B
ENSG00000239569.3;KMT2E-AS1,KMT2E-AS1,-1.00469380573136,0.436274590746065,-3.2444409934966,0.00593012516925459,0.0131852891699241,-2.45362493468263
ENSG00000211456.10;SACM1L,SACM1L,-0.308994730242034,5.89684166544016,-3.90406538952726,0.0016113141916682,0.00424646152653789,-2.45473073407575
ENSG00000140043.11;PTGR2,PTGR2,-0.543343752236225,4.29714749807018,-3.72512842628019,0.00229044357209444,0.00576659132666117,-2.45493253965082
ENSG00000254402.6;LRRC24,LRRC24,-1.18312828285494,-0.364705980210982,-3.19350333160903,0.00656016055575914,0.0143919397321653,-2.45525713123119
ENSG00000164091.11;WDR82,WDR82,0.177634284952979,7.16928722402667,4.02995779836467,0.00125976160549829,0.00342584680521802,-2.456066787362
ENSG00000169248.12;CXCL11,CXCL11,-1.00344618914628,0.017672070540615,-3.24494964935938,0.00592414821688753,0.0131742574274187,-2.45626289909446
ENSG00000115468.11;EFHD1,EFHD1,-0.787907731061373,1.98769617763045,-3.4446613121541,0.00398743846268644,0.00932096098442836,-2.45628285291973
ENSG00000116062.14;MSH6,MSH6,-0.356943308112863,7.37573088563724,-4.03864046152386,0.00123861340393549,0.00337305308489098,-2.45673145820898
ENSG00000181518.4;OR8D4,OR8D4,1.36598866079312,-1.20723417129906,3.10679387991208,0.00778958494054327,0.0166917224580035,-2.45681425253087
ENSG00000120314.18;WDR55,WDR55,-0.209853125855399,5.92761517257722,-3.91058002836643,0.00159087612528625,0.00419771955218698,-2.45705409234575
ENSG00000234617.2;SNRK-AS1,SNRK-AS1,-1.76699594843096,-1.68674966709994,-3.06019100586146,0.00854223843273087,0.01807780581729,-2.45712286835805
ENSG00000067704.9;IARS2,IARS2,-0.194035982031113,7.21293236587102,-4.01616982534798,0.00129410528315383,0.00350502620499276,-2.46282896641774
ENSG00000127804.12;METTL16,METTL16,0.278853840099819,5.50113963190406,3.88527685431338,0.00167176876721193,0.00438202641003894,-2.46314644293006
ENSG00000109927.10;TECTA,TECTA,1.45192657952108,-0.409759584347346,3.21833206374907,0.00624513539312986,0.0137957751174752,-2.46338183412151
ENSG00000283199.2;C13orf46,C13orf46,-2.02769650681228,1.35748303213237,-3.29975166267452,0.00531421269297432,0.0119760722765638,-2.46583749219856
ENSG00000160401.14;CFAP157,CFAP157,0.698921096749977,0.212372564223632,3.26426105478497,0.00570162350894766,0.0127442657211149,-2.46628576517358
ENSG00000132199.19;ENOSF1,ENOSF1,-0.445185076365378,5.23190183135794,-3.82390273968487,0.00188581834053325,0.00487604412411282,-2.46664808279545
ENSG00000269019.1;HOMER3-AS1,HOMER3-AS1,-1.1245658225715,-0.223815062851649,-3.18680391075972,0.00664784163777722,0.0145625173310451,-2.46690593630144
ENSG00000268051.1;AC008395.1,AC008395.1,0.451872564162913,3.22033119106147,3.62239982925601,0.00280514816283593,0.00687376192541674,-2.46690938001398
ENSG00000111707.11;SUDS3,SUDS3,0.346410183776705,6.09329999301351,3.93643304096027,0.00151233755100383,0.00401939466125184,-2.46784016789181
ENSG00000267198.1;AC091132.4,AC091132.4,1.39673903122118,-0.934775927521932,3.16629768490932,0.00692354114844589,0.0150836228672697,-2.47013055834317
ENSG00000182545.6;RNASE10,RNASE10,1.1423208729049,-0.469859106010569,3.17784410663788,0.00676693278943384,0.0147805258546115,-2.47060293659287
ENSG00000224699.8;LAMTOR5-AS1,LAMTOR5-AS1,0.666563135556109,2.894171475949,3.59116751069807,0.00298374430017951,0.00725743359678389,-2.47238267492299
ENSG00000148396.18;SEC16A,SEC16A,-0.189217538056673,7.64007833031387,-4.05158784793592,0.00120774904603038,0.00329731430090068,-2.4726297688635
ENSG00000165424.6;ZCCHC24,ZCCHC24,-0.290955182311363,4.85073392143365,-3.82085005814166,0.00189716511834086,0.00490082085306493,-2.47498871100975
ENSG00000243696.4;AC006254.1,AC006254.1,-1.58341021358562,-0.332195152678342,-3.138455274332,0.00731616421577122,0.0158184695887308,-2.47510307516518
ENSG00000090539.15;CHRD,CHRD,1.07846694894474,0.751003145238218,3.30849589137572,0.00522287380593194,0.011793468619503,-2.47544564031188
ENSG00000125347.13;IRF1,IRF1,-0.298644920465641,5.42369450011444,-3.85293449923839,0.00178129512068549,0.00463326182120689,-2.47557444364334
ENSG00000239899.3;RN7SL674P,RN7SL674P,-1.49657201902213,-0.903331130057528,-3.14024076786365,0.0072903346695765,0.0157696370358489,-2.47726507455575
ENSG00000146530.13;VWDE,VWDE,-0.841354045856471,2.55822768475048,-3.48632218825945,0.00367161224810477,0.00868924398151767,-2.47736036261835
ENSG00000086232.12;EIF2AK1,EIF2AK1,-0.234283900540633,7.41128342649149,-4.0294287637083,0.00126106202229942,0.00342761233840113,-2.4779257131815
ENSG00000241404.6;EGFL8,EGFL8,0.485184564254613,3.59651085059319,3.66994594833806,0.00255377622189358,0.00633281786232606,-2.47941043854315
ENSG00000185475.10;TMEM179B,TMEM179B,-0.346301200050811,4.02061792483125,-3.69702745739005,0.00242091496351578,0.0060465344316764,-2.48082793409293
ENSG00000198841.3;KTI12,KTI12,0.386650386562895,3.63822493481471,3.67998306907562,0.00250369421146997,0.00622848391092913,-2.48213769152208
ENSG00000034053.14;APBA2,APBA2,-1.04168645212665,2.18113671055965,-3.40908980967799,0.00427863529273364,0.00991700853879042,-2.48344482174649
ENSG00000163945.16;UVSSA,UVSSA,-0.510573662132263,4.41271437918339,-3.72279274821272,0.00230101112070846,0.0057901980368908,-2.48362651437891
