,logFC,AveExpr,t,P.Value,adj.P.Val,B
FOXM1,1.07205848492753,0.0510038913117246,2.1607885166819,0.0496522235137091,0.0727229536311901,-4.46188563992105
ZBTB11,2.24999721535638,-0.370883677139897,2.13303917140131,0.0522433537737685,0.0761335306250898,-4.50814718051416
CDX2,1.34506828983926,-0.206366897363443,2.08235090603541,0.0573045316698079,0.0830915709212214,-4.59191054706299
ATF2,-0.957342388182715,0.0679002135264788,-2.07082660912089,0.0585170359395972,0.0844275642909611,-4.61081709876662
PAX5,-1.3525262069197,0.252207562167427,-2.05817800480297,0.059875156860681,0.0859593836118688,-4.63150802532316
RFX5,1.20763383414387,-0.247594458749906,2.05120520680781,0.0606362585762887,0.0866232265375553,-4.64288712706166
WT1,1.08144251874148,-0.182658860647726,2.03378955619973,0.0625764390666739,0.0889567025947816,-4.6712227800353
SMAD5,-1.69977891992969,0.0444714644754683,-2.00090001583813,0.0663973985636539,0.0939280272363884,-4.72439582501936
EHF,1.39967562816264,4.00551849056172e-05,1.9846306480415,0.0683657425650616,0.0962430356498441,-4.75053141055701
ARID3A,-1.37854081195203,0.0410744551098295,-1.95182598907347,0.0724981358714002,0.101567436728049,-4.80288414393928
ZEB1,1.31839524285157,-0.170221063488042,1.89714132377816,0.0798961107708546,0.111393615978595,-4.88909461771064
TWIST1,-0.862253544655242,0.00497694545146793,-1.8915940941278,0.0806836289740545,0.111953360777396,-4.89776368133972
IRF3,-2.28751507954772,0.459667264157486,-1.86310371034717,0.0848400952624334,0.117160131552884,-4.94206081546175
MTA2,-1.95333674892662,0.129089526513381,-1.85673831895811,0.0857947688252939,0.117813697517418,-4.95190526672062
EGR1,-0.95899661150341,0.0659330294051816,-1.8545455390763,0.0861258754265262,0.117813697517418,-4.95529203925335
MAF,-0.940197622347069,0.104684468215367,-1.85111590997097,0.086646053876709,0.117968805747632,-4.96058450922947
PGR,-0.797407939531855,0.0768756588641816,-1.83369838684523,0.0893317145319679,0.121056996328368,-4.98737479515848
ETS2,1.13987360459378,-0.161497204451543,1.81922680967235,0.0916197701762931,0.123580155121512,-5.00952119540033
TCF7L2,-0.724728701391355,0.0218009410157414,-1.79622351972725,0.0953649796053235,0.128036315210851,-5.044510272645
NR2F2,-0.891763729558464,0.0275752766295092,-1.78717213671487,0.09687577905783,0.129465326851478,-5.05820497646309
HOXB13,-1.43475785986905,0.066623679702251,-1.73135094238617,0.106673154113603,0.141904654554793,-5.14173044229433
DNMT3B,-1.21693560625276,0.19854036791726,-1.69631137929034,0.113261996671439,0.149981639427933,-5.19331874130743
RELB,0.779486380655709,0.0453896188665453,1.6928705568681,0.113927931340783,0.150177727676487,-5.19834874135547
FOSL2,0.963301376856899,-0.141437097583345,1.67778898933671,0.116887537538487,0.153381836588964,-5.22031912193924
NFKB2,-0.815526989867491,0.0358903475147014,-1.63304275395542,0.126068034711152,0.164683468766821,-5.28475648482503
E2F5,1.01397297974193,0.0839013570970557,1.55178076393224,0.1443470644148,0.187131277706431,-5.39881607953281
NCOA1,-1.17630628400374,0.0309116962206652,-1.55095975964233,0.144542780021519,0.187131277706431,-5.39994833349765
BHLHE40,0.905096492180052,-0.168176310717139,1.50659652030821,0.155460443237313,0.199844911775622,-5.4605136869491
NFE2L2,0.775793054182281,0.0284570919868751,1.50549102198507,0.155741207107898,0.199844911775622,-5.46200730648584
E2F3,0.646841170073737,0.0691240571356272,1.47363612958984,0.164017559355156,0.209537851158569,-5.50471372638921
EPAS1,0.831594788736618,-0.195074558268719,1.45092998960764,0.170140234051656,0.216406438048159,-5.53475793284737
ESR2,-1.03642281767282,-0.0110890376509482,-1.4268584355467,0.176838685496085,0.223076623592458,-5.56624172772202
PAX6,-0.768523172102731,0.0761943546689125,-1.42656088757528,0.176922839400915,0.223076623592458,-5.56662850984717
HIF1A,-0.805333703383712,0.023398805056962,-1.37146437275167,0.19308794081895,0.242404774188292,-5.63722570224834
NFYA,0.496722642292805,-0.10455433975824,1.28365821105319,0.221332393660789,0.276665492075986,-5.74540222955789
CEBPA,-0.885687570780175,0.129111870766913,-1.27607415920902,0.223920166898802,0.278698920174474,-5.75448818611644
MBD1,0.930413674778095,-0.225881083058189,1.27272632848095,0.225070147476746,0.278933088753232,-5.75848571952192
ZBED1,-0.81755882958957,0.181609802968862,-1.26183405027092,0.228844250404706,0.282403543052616,-5.77143529131565
SOX10,-0.74643506153355,-0.0183602338037827,-1.19002217396758,0.254995686798944,0.313342157507177,-5.85461023051601
GATA2,0.766874801043294,0.0647064298370973,1.13670638220638,0.275870941330124,0.337563599095933,-5.91382773833153
